time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,0.0914,0.1688,-0.1812,0.01189,0.00234,0.00474,-5.00,0.00,0.00,0.0,125.54,633.29,302.46,DESCEND
0.0102,-0.0485,0.2888,-0.0312,-0.00410,0.00134,0.00474,-5.00,0.00,0.00,0.0,125.54,633.29,302.46,DESCEND
0.0203,0.0214,0.0488,-0.3212,-0.00310,0.00434,0.00574,-5.00,0.00,0.00,0.0,125.54,633.29,302.45,DESCEND
0.0304,0.0914,-0.1111,0.1487,0.02889,0.01634,0.00174,-5.00,0.00,0.00,0.0,125.54,633.29,302.44,DESCEND
0.0406,-0.0185,0.2488,-0.1212,0.00789,0.00834,0.00374,-5.00,0.00,0.00,0.0,125.54,633.29,302.43,DESCEND
0.0507,0.1414,-0.0811,-0.2612,0.00889,0.00034,0.00474,-5.00,0.00,0.00,0.0,125.54,633.29,302.41,DESCEND
0.0610,0.0314,0.3288,-0.3412,0.01389,-0.00565,0.00474,-5.00,0.00,0.00,0.1,125.54,633.29,302.39,DESCEND
0.0711,0.0814,0.1988,-0.3612,0.00089,-0.00565,0.00474,-5.00,0.00,0.00,0.1,125.54,633.30,302.37,DESCEND
0.0812,-0.0485,-0.0011,0.0187,-0.00210,0.00434,0.00374,-5.00,0.00,0.00,0.1,125.54,633.30,302.34,DESCEND
0.0913,0.2114,-0.2411,0.0887,0.00289,0.00034,0.00174,-5.00,0.00,0.00,0.1,125.54,633.30,302.31,DESCEND
0.1014,0.0614,-0.2111,0.3187,0.00789,0.01334,0.00274,-5.00,0.00,0.00,0.2,125.54,633.30,302.27,DESCEND
0.1117,-0.0885,0.1788,0.0187,0.00589,0.01134,0.00574,-5.00,0.00,0.00,0.2,125.54,633.30,302.24,DESCEND
0.1218,-0.0885,0.3188,-0.0512,-0.01010,-0.00065,0.00574,-5.00,0.00,0.00,0.3,125.54,633.30,302.19,DESCEND
0.1319,0.0414,0.0188,-0.0712,0.00989,0.00434,0.00574,-5.00,0.00,0.00,0.3,125.54,633.30,302.15,DESCEND
0.1420,0.0914,-0.2011,-0.0112,0.00789,0.01134,0.00274,-5.00,0.00,0.00,0.4,125.54,633.31,302.09,DESCEND
0.1521,0.2714,-0.1811,0.1287,0.00889,0.00534,0.00174,-5.00,0.00,0.00,0.4,125.54,633.31,302.05,DESCEND
0.1622,0.1814,-0.3611,0.3487,0.01189,0.02834,0.00074,-5.00,0.00,0.00,0.5,125.54,633.31,301.99,DESCEND
0.1724,0.1114,-0.1211,-0.1412,0.02689,0.01534,0.00174,-5.00,0.00,0.00,0.5,125.54,633.31,301.93,DESCEND
0.1825,0.1214,-0.1011,0.1587,0.00589,0.00234,0.00274,-5.00,0.00,0.00,0.6,125.54,633.31,301.89,DESCEND
0.1926,-0.0385,0.0788,-0.1012,-0.00310,-0.01065,0.00574,-5.00,0.00,0.00,0.6,125.55,633.31,301.83,DESCEND
