time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z
0.0032,0.1085,-0.0291,-0.2471,0.02224,0.00037,0.00167,-5.00,0.00,0.00,0.0,107.99,650.27,302.23
0.0134,-0.2114,-0.2791,0.3228,-0.01475,0.00037,-0.00032,-5.00,0.00,0.00,0.0,107.99,650.27,302.23
0.0235,0.0285,-0.1991,0.2528,-0.00375,0.00037,-0.00332,-5.00,0.00,0.00,0.0,107.99,650.27,302.23
0.0337,-0.0014,-0.0991,-0.0971,0.00424,-0.00062,0.00167,-5.00,0.00,0.00,0.0,107.99,650.27,302.22
0.0438,-0.1114,-0.0191,0.0028,0.00524,0.00537,-0.00032,-5.00,0.00,0.00,0.0,107.99,650.27,302.20
0.0541,0.0785,-0.4091,0.0328,-0.00475,-0.00562,-0.00032,-5.00,0.00,0.00,0.0,107.99,650.27,302.19
0.0643,-0.0314,0.3208,-0.1671,-0.00675,0.00137,0.00367,-5.00,0.00,0.00,0.1,107.99,650.27,302.17
0.0745,-0.1414,0.1408,-0.2871,-0.01275,-0.00462,0.00167,-5.00,0.00,0.00,0.1,107.99,650.27,302.15
0.0848,0.0485,-0.0391,0.0428,0.00124,-0.00362,-0.00332,-5.00,0.00,0.00,0.1,107.99,650.27,302.11
0.0955,0.0685,-0.3491,0.1628,-0.00475,0.00337,-0.00232,-5.00,0.00,0.00,0.1,107.99,650.27,302.09
0.1051,0.1385,-0.4591,0.2328,0.00324,-0.00262,-0.00232,-5.00,0.00,0.00,0.2,108.00,650.28,302.05
0.1152,-0.0114,0.1908,-0.0471,0.00224,0.00337,0.00167,-5.00,0.00,0.00,0.2,108.00,650.28,302.02
0.1252,0.0685,-0.0491,-0.0171,-0.00675,-0.01362,0.00267,-5.00,0.00,0.00,0.3,108.00,650.28,301.97
0.1353,-0.0114,-0.1891,0.3628,-0.00575,0.00537,-0.00032,-5.00,0.00,0.00,0.3,108.00,650.28,301.93
0.1455,-0.0914,-0.0691,0.1028,-0.01175,-0.00362,0.00067,-5.00,0.00,0.00,0.4,108.00,650.28,301.87
0.1554,0.0285,-0.0391,0.2728,-0.00075,0.00437,0.00267,-5.00,0.00,0.00,0.4,108.00,650.28,301.81
0.1660,0.2185,-0.2391,0.5028,-0.00075,0.01237,-0.00332,-5.00,0.00,0.00,0.5,108.00,650.29,301.77
0.1757,0.1785,0.2908,-0.1871,0.00024,0.01137,0.00267,-5.00,0.00,0.00,0.5,108.00,650.29,301.71
0.1861,0.2285,0.0608,-0.1171,-0.00475,0.00437,0.00067,-5.00,0.00,0.00,0.6,108.00,650.29,301.67
