time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z
0.0034,0.0106,0.3084,-0.0339,-0.00755,-0.00552,0.00071,-5.00,0.00,0.00,0.0,110.81,640.32,302.34
0.0136,0.0106,-0.2215,0.1860,0.01444,0.00547,0.00271,-5.00,0.00,0.00,0.0,110.81,640.32,302.34
0.0242,0.0806,0.0184,-0.1239,-0.01855,-0.01852,0.00271,-5.00,0.00,0.00,0.0,110.81,640.32,302.33
0.0355,0.0806,0.0084,0.1260,0.00144,0.00147,0.00171,-5.00,0.00,0.00,0.0,110.81,640.32,302.32
0.0442,0.1806,-0.0015,-0.0039,0.01244,-0.00152,0.00171,-5.00,0.00,0.00,0.0,110.81,640.32,302.30
0.0548,-0.0593,0.1684,0.0360,-0.00755,-0.00752,0.00271,-5.00,0.00,0.00,0.0,110.81,640.32,302.29
0.0649,0.0606,0.3084,-0.2439,-0.00155,-0.00352,0.00271,-5.00,0.00,0.00,0.1,110.81,640.32,302.27
0.0748,-0.1193,-0.0115,0.4160,-0.00555,0.00547,0.00171,-5.00,0.00,0.00,0.1,110.81,640.32,302.25
0.0848,0.0006,-0.2515,0.1660,0.01044,0.00147,-0.00028,-5.00,0.00,0.00,0.1,110.81,640.32,302.22
0.0950,0.1006,-0.0415,0.1660,0.01344,0.00647,0.00071,-5.00,0.00,0.00,0.1,110.81,640.33,302.19
0.1048,-0.1193,0.0884,-0.0939,0.00244,-0.00252,0.00271,-5.00,0.00,0.00,0.2,110.81,640.33,302.15
0.1151,-0.0393,-0.1615,0.2360,-0.00055,-0.00152,0.00171,-5.00,0.00,0.00,0.2,110.81,640.33,302.12
0.1250,0.0406,0.2184,-0.3039,-0.00255,-0.01152,0.00271,-5.00,0.00,0.00,0.3,110.81,640.33,302.07
0.1351,-0.0393,-0.1615,0.2860,-0.00455,-0.00252,0.00071,-5.00,0.00,0.00,0.3,110.81,640.33,302.03
0.1455,0.0006,-0.2715,0.0960,-0.00755,0.00247,-0.00028,-5.00,0.00,0.00,0.4,110.81,640.33,301.97
0.1554,0.2606,-0.4615,0.2660,0.01644,0.01747,-0.00528,-5.00,0.00,0.00,0.4,110.81,640.34,301.91
0.1649,0.2706,-0.4115,0.5260,-0.00255,0.00847,-0.00228,-5.00,0.00,0.00,0.5,110.81,640.34,301.87
0.1760,0.2806,0.1084,-0.0839,0.01144,0.00947,0.00071,-5.00,0.00,0.00,0.5,110.81,640.34,301.81
0.1861,0.0806,0.2184,0.1060,-0.00255,-0.00452,0.00771,-5.00,0.00,0.00,0.6,110.81,640.34,301.77
0.1960,0.0706,0.1084,-0.1939,0.00944,-0.00852,0.00371,-5.00,0.00,0.00,0.6,110.81,640.34,301.71
0.2063,0.0706,0.1584,0.0560,0.00844,-0.00452,0.00171,-5.00,0.00,0.00,0.7,110.81,640.34,301.67
0.2162,-0.1893,-0.0415,0.2960,0.00544,-0.00352,0.00571,-5.00,0.00,0.00,0.7,110.81,640.35,301.61
0.2262,-0.0793,0.0984,-0.0139,0.00044,-0.00252,0.00071,-5.00,0.00,0.00,0.8,110.81,640.35,301.57
0.2370,0.0206,-0.3315,0.1560,0.01144,-0.00552,0.00171,-5.00,0.00,0.00,0.8,110.81,640.35,301.51
0.2465,0.0106,-0.3815,0.1860,0.01344,-0.00052,0.00071,-5.00,0.00,0.00,0.9,110.81,640.35,301.47
0.2566,-0.0393,0.2384,-0.2339,0.00544,0.00547,0.00671,-5.00,0.00,0.00,0.9,110.81,640.35,301.41
0.2671,-0.0793,-0.0515,0.4160,-0.00355,-0.00052,0.00471,-5.00,0.00,0.00,1.0,110.81,640.36,301.37
0.2771,0.0906,0.2084,-0.0439,-0.00255,-0.00652,0.00571,-5.00,0.00,0.00,1.0,110.81,640.36,301.31
0.2875,0.0406,-0.0215,0.0660,0.00144,0.00747,0.00071,-5.00,0.00,0.00,1.1,110.81,640.36,301.27
0.2974,0.0506,0.2284,0.1760,0.00044,0.00347,0.00471,-5.00,0.00,0.00,1.1,110.82,640.36,301.21
0.3076,-0.0393,0.1184,-0.0039,-0.01455,-0.00852,0.00171,-5.00,0.00,0.00,1.2,110.82,640.36,301.15
0.3174,-0.1593,-0.0715,0.2260,-0.00555,0.00147,0.00371,-5.00,0.00,0.00,1.2,110.82,640.37,301.11
0.3276,-0.1093,0.2484,-0.1739,0.00544,-0.00552,0.00171,-5.00,0.00,0.00,1.3,110.82,640.37,301.05
0.3378,-0.0093,-0.1315,-0.1039,0.00244,-0.00452,0.00271,-5.00,0.00,0.00,1.3,110.82,640.37,301.01
0.3476,-0.0293,0.0984,0.1560,0.01744,0.00647,0.00271,-5.00,0.00,0.00,1.4,110.82,640.37,300.95
0.3578,0.1906,-0.2315,0.2660,0.00744,0.00047,-0.00328,-5.00,0.00,0.00,1.4,110.82,640.37,300.91
0.3680,0.0606,0.1484,0.0760,-0.01355,-0.00652,0.00371,-5.00,0.00,0.00,1.5,110.82,640.38,300.85
0.3780,0.0006,-0.2215,0.3560,0.02644,0.02047,-0.00028,-5.00,0.00,0.00,1.5,110.82,640.38,300.81
0.3880,-0.2793,-0.0815,0.0760,-0.01355,0.00347,0.00271,-5.00,0.00,0.00,1.6,110.82,640.38,300.75
0.3985,0.1306,-0.0015,0.3360,0.01644,-0.00152,0.00471,-5.00,0.00,0.00,1.6,110.82,640.38,300.71
0.4083,0.1106,-0.0315,0.0960,0.01844,0.00147,0.00071,-5.00,0.00,0.00,1.7,110.82,640.38,300.65
0.4185,0.0406,0.2184,0.0960,-0.00455,-0.00252,0.00271,-5.00,0.00,0.00,1.7,110.82,640.38,300.61
0.4291,0.0006,-0.2115,-0.0039,-0.00455,-0.00452,0.00371,-5.00,0.00,0.00,1.8,110.82,640.39,300.55
0.4386,-0.0393,0.1184,0.2560,-0.01655,-0.01052,0.00571,-5.00,0.00,0.00,1.8,110.82,640.39,300.51
0.4488,-0.0893,0.1384,-0.0339,0.00044,0.00447,0.00171,-5.00,0.00,0.00,1.9,110.82,640.39,300.45
0.4594,0.1506,-0.1515,0.2660,0.00744,0.00747,0.00071,-5.00,0.00,0.00,1.9,110.82,640.39,300.39
0.4690,-0.0993,-0.2415,0.0860,0.01144,0.00847,0.00171,-5.00,0.00,0.00,2.0,110.82,640.39,300.35
0.4791,0.0406,-0.0215,0.0260,0.00744,0.00347,-0.00128,-5.00,0.00,0.00,2.0,110.82,640.40,300.29
0.4898,0.0106,0.0784,0.4060,0.01444,0.01647,0.00171,-5.00,0.00,0.00,2.1,110.82,640.40,300.25
0.4995,0.1006,0.0484,-0.0939,0.00944,-0.00052,0.00271,-5.00,0.00,0.00,2.1,110.82,640.40,300.19
0.5095,-0.0893,0.0184,-0.0139,-0.01055,-0.00252,0.00271,-5.00,0.00,0.00,2.2,110.82,640.40,300.15
0.5200,0.0606,-0.2615,0.1560,0.02944,0.00747,0.00171,-5.00,0.00,0.00,2.2,110.82,640.40,300.09
0.5296,-0.0893,-0.0415,0.1760,0.00744,0.00247,0.00371,-5.00,0.00,0.00,2.3,110.82,640.40,300.05
0.5397,-0.1893,0.0984,0.1060,-0.00955,0.00547,0.00271,-5.00,0.00,0.00,2.3,110.82,640.41,299.99
0.5503,0.1006,-0.0915,0.0060,0.00044,0.00047,0.00471,-5.00,0.00,0.00,2.4,110.82,640.41,299.95
0.5601,0.0906,-0.2015,0.2260,0.00144,-0.00052,0.00371,-5.00,0.00,0.00,2.4,110.82,640.41,299.89
0.5700,0.1606,-0.3115,0.2760,-0.00955,-0.00052,-0.00028,-5.00,0.00,0.00,2.5,110.82,640.41,299.85
0.5804,0.0806,-0.0715,0.1260,-0.00055,0.00347,0.00271,-5.00,0.00,0.00,2.5,110.82,640.41,299.79
0.5905,0.0106,-0.1715,0.4460,0.00444,0.00547,0.00271,-5.00,0.00,0.00,2.6,110.82,640.42,299.75
0.6006,0.0606,-0.4215,0.6360,0.00644,0.01047,-0.00128,-5.00,0.00,0.00,2.6,110.82,640.42,299.69
0.6105,0.1406,0.1184,0.1960,0.00044,-0.00052,0.00371,-5.00,0.00,0.00,2.7,110.82,640.42,299.65
0.6208,0.0506,-0.0115,-0.2339,0.00244,-0.00252,0.00171,-5.00,0.00,0.00,2.7,110.82,640.42,299.59
0.6309,0.1606,-0.0715,0.2960,0.03044,0.00047,0.00371,-5.00,0.00,0.00,2.8,110.82,640.42,299.55
0.6411,-0.0093,-0.0315,0.2660,0.00544,-0.00652,0.00471,-5.00,0.00,0.00,2.8,110.82,640.43,299.49
0.6524,0.0806,0.3984,-0.3239,0.00844,-0.00452,0.00371,-5.00,0.00,0.00,2.9,110.82,640.43,299.43
0.6614,0.1906,-0.0915,0.0160,0.01344,0.00447,0.00271,-5.00,0.00,0.00,2.9,110.82,640.43,299.39
0.6721,0.0206,-0.0715,0.1960,-0.00855,-0.00152,0.00471,-5.00,0.00,0.00,3.0,110.82,640.43,299.33
0.6821,0.0606,0.0184,-0.0239,-0.00155,-0.01352,0.00571,-5.00,0.00,0.00,3.0,110.82,640.43,299.29
0.6920,-0.1293,0.3484,0.0460,-0.02255,-0.01552,0.00071,-5.00,0.00,0.00,3.1,110.82,640.44,299.23
0.7030,0.0906,-0.0815,0.2460,0.00044,-0.00352,0.00371,-5.00,0.00,0.00,3.1,110.82,640.44,299.19
0.7122,0.0406,-0.0615,0.2360,0.00944,0.00147,0.00371,-5.00,0.00,0.00,3.2,110.82,640.44,299.13
0.7224,-0.0993,-0.0215,0.1760,-0.01555,-0.01152,0.00171,-5.00,0.00,0.00,3.2,110.82,640.44,299.09
0.7323,0.1606,-0.0715,0.3760,0.00544,0.00247,0.00171,-5.00,0.00,0.00,3.3,110.82,640.44,299.03
0.7425,0.0906,0.0484,0.1660,0.01144,0.00347,0.00371,-5.00,0.00,0.00,3.3,110.82,640.44,298.99
0.7526,0.0606,-0.0515,0.1360,-0.01455,-0.01952,0.00371,-5.00,0.00,0.00,3.4,110.82,640.45,298.93
0.7631,-0.0993,-0.0315,-0.1439,0.00444,-0.00252,0.00371,-5.00,0.00,0.00,3.4,110.82,640.45,298.89
0.7727,0.2106,-0.1315,0.0260,-0.00355,-0.01852,0.00171,-5.00,0.00,0.00,3.5,110.82,640.45,298.83
0.7827,0.0306,-0.2315,0.2460,0.00644,-0.00052,-0.00128,-5.00,0.00,0.00,3.5,110.82,640.45,298.79
0.7931,-0.0793,0.0484,0.1560,-0.00555,-0.00452,0.00771,-5.00,0.00,0.00,3.6,110.82,640.45,298.73
0.8031,-0.0293,-0.3915,0.4060,0.00244,0.00547,0.00271,-5.00,0.00,0.00,3.6,110.82,640.46,298.69
0.8131,0.0106,-0.4415,0.4460,0.01544,0.00547,0.00071,-5.00,0.00,0.00,3.7,110.82,640.46,298.63
0.8234,0.0806,-0.0215,-0.0439,0.01144,-0.00452,0.00371,-5.00,0.00,0.00,3.8,110.82,640.46,298.57
0.8334,0.1406,-0.0015,-0.1539,0.00744,-0.00752,0.00471,-5.00,0.00,0.00,3.8,110.82,640.46,298.53
0.8439,0.0606,-0.0815,0.3360,-0.00055,-0.00652,0.00071,-5.00,0.00,0.00,3.9,110.82,640.46,298.47
0.8536,-0.0593,0.1084,-0.0439,-0.02655,-0.01152,0.00171,-5.00,0.00,0.00,3.9,110.82,640.46,298.43
0.8636,-0.0093,-0.1715,0.3360,0.00144,-0.00052,0.00171,-5.00,0.00,0.00,4.0,110.83,640.47,298.37
0.8737,-0.0493,0.0684,0.0960,-0.00055,0.00347,0.00571,-5.00,0.00,0.00,4.0,110.83,640.47,298.33
0.8840,0.0206,-0.0115,0.1260,-0.01555,-0.00452,0.00471,-5.00,0.00,0.00,4.1,110.83,640.47,298.27
0.8940,0.0306,-0.3915,0.6760,0.01944,0.01547,0.00271,-5.00,0.00,0.00,4.1,110.83,640.47,298.23
0.9042,0.1906,0.1384,-0.3239,0.01044,-0.00752,0.00371,-5.00,0.00,0.00,4.2,110.83,640.47,298.17
0.9143,0.0306,-0.2315,0.2660,0.00944,0.00947,0.00571,-5.00,0.00,0.00,4.2,110.83,640.48,298.13
0.9243,-0.0593,0.1484,-0.2039,-0.00555,-0.00452,0.00471,-5.00,0.00,0.00,4.3,110.83,640.48,298.07
0.9345,0.0106,-0.0615,0.1060,-0.00055,-0.00152,0.00271,-5.00,0.00,0.00,4.3,110.83,640.48,298.03
0.9446,0.0706,0.0584,-0.0439,0.00544,-0.00352,0.00871,-5.00,0.00,0.00,4.4,110.83,640.48,297.97
0.9546,0.1906,-0.3115,0.2760,0.01944,0.00547,0.00371,-5.00,0.00,0.00,4.4,110.83,640.48,297.93
0.9649,-0.0693,-0.2515,0.4260,-0.00955,-0.00052,0.00471,-5.00,0.00,0.00,4.5,110.83,640.49,297.87
0.9749,-0.0293,0.1084,-0.0439,-0.00655,-0.01252,0.00471,-5.00,0.00,0.00,4.5,110.83,640.49,297.83
0.9853,-0.0793,0.0184,0.0660,-0.00255,-0.00852,0.00571,-5.00,0.00,0.00,4.6,110.83,640.49,297.77
0.9951,0.0906,-0.1015,-0.0639,-0.00155,-0.01452,0.00571,-5.00,0.00,0.00,4.6,110.83,640.49,297.73
1.0053,0.1106,-0.1615,0.1160,0.01044,0.00347,0.00571,-5.00,0.00,0.00,4.7,110.83,640.49,297.67
1.0154,0.0106,0.3384,-0.0139,-0.00955,-0.01052,0.00471,-5.00,0.00,0.00,4.7,110.83,640.50,297.61
1.0255,0.0606,-0.4815,0.5360,-0.00255,0.00547,0.00071,-5.00,0.00,0.00,4.8,110.83,640.50,297.57
1.0355,-0.0693,-0.2715,0.5060,-0.00055,0.00647,0.00571,-5.00,0.00,0.00,4.8,110.83,640.50,297.51
1.0459,0.2006,-0.0215,0.0660,0.02844,-0.00052,0.00271,-5.00,0.00,0.00,4.9,110.83,640.50,297.47
1.0558,0.0606,-0.2815,0.0560,0.01544,-0.00152,0.00071,-5.00,0.00,0.00,4.9,110.83,640.50,297.41
1.0659,0.0506,-0.0515,0.3660,0.00744,0.01147,0.00271,-5.00,0.00,0.00,5.0,110.83,640.50,297.37
1.0761,-0.0993,0.1684,-0.0939,-0.01255,-0.00952,0.00771,-5.00,0.00,0.00,5.0,110.83,640.51,297.31
