time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,0.1481,0.0183,0.2250,0.02561,0.00704,0.00450,-5.00,0.00,0.00,0.0,125.41,633.31,302.41,DESCEND
0.0101,-0.1418,0.0383,-0.0549,-0.00938,-0.00195,0.00250,-5.00,0.00,0.00,0.0,125.41,633.31,302.41,DESCEND
0.0203,-0.0818,0.1683,0.0050,-0.01138,-0.00795,0.00650,-5.00,0.00,0.00,0.0,125.41,633.31,302.40,DESCEND
0.0304,0.0381,0.0583,0.2550,-0.00738,-0.00495,0.00550,-5.00,0.00,0.00,0.0,125.41,633.31,302.39,DESCEND
0.0405,0.1181,0.0883,0.2050,0.00161,-0.00195,0.00150,-5.00,0.00,0.00,0.0,125.41,633.31,302.38,DESCEND
0.0506,0.0581,0.1883,-0.1049,0.00261,-0.01095,0.00350,-5.00,0.00,0.00,0.1,125.41,633.31,302.36,DESCEND
0.0607,0.0881,0.4683,0.1150,-0.01738,-0.00795,0.00250,-5.00,0.00,0.00,0.1,125.41,633.31,302.34,DESCEND
0.0708,0.0981,-0.0716,0.3950,0.00161,0.00404,0.00150,-5.00,0.00,0.00,0.1,125.41,633.31,302.31,DESCEND
0.0809,-0.1518,0.2383,-0.1449,-0.01838,-0.00895,0.00350,-5.00,0.00,0.00,0.1,125.41,633.32,302.29,DESCEND
0.0909,0.1381,0.0083,0.1550,0.00661,-0.00395,0.00650,-5.00,0.00,0.00,0.2,125.41,633.32,302.25,DESCEND
0.1011,0.0081,0.0883,0.3250,-0.00238,-0.00295,0.00350,-5.00,0.00,0.00,0.2,125.41,633.32,302.22,DESCEND
0.1112,-0.0518,0.1083,0.0750,0.01061,0.00004,0.00150,-5.00,0.00,0.00,0.2,125.41,633.32,302.17,DESCEND
0.1213,-0.1218,-0.1316,0.1250,-0.01238,-0.01095,0.00350,-5.00,0.00,0.00,0.3,125.41,633.32,302.14,DESCEND
0.1315,0.2181,-0.0316,0.3850,0.00761,0.00404,-0.00049,-5.00,0.00,0.00,0.3,125.41,633.32,302.08,DESCEND
0.1416,-0.0618,-0.0616,0.1550,-0.00538,-0.00295,0.00050,-5.00,0.00,0.00,0.4,125.41,633.32,302.04,DESCEND
0.1517,0.0881,0.0683,-0.1149,-0.00338,-0.00695,0.00450,-5.00,0.00,0.00,0.4,125.41,633.33,301.98,DESCEND
0.1621,0.1481,-0.0716,0.0950,0.00761,0.00904,0.00150,-5.00,0.00,0.00,0.5,125.41,633.33,301.94,DESCEND
0.1722,0.2981,0.1083,-0.1249,0.00961,0.00704,0.00450,-5.00,0.00,0.00,0.5,125.41,633.33,301.88,DESCEND
0.1823,0.1781,0.2283,0.1950,-0.00138,0.00004,0.00750,-5.00,0.00,0.00,0.6,125.41,633.33,301.82,DESCEND
0.1924,0.0581,0.2983,-0.2649,-0.01538,-0.01795,0.00350,-5.00,0.00,0.00,0.6,125.41,633.33,301.78,DESCEND
0.2026,-0.2618,0.1983,-0.1949,-0.02438,-0.00795,0.00750,-5.00,0.00,0.00,0.7,125.41,633.34,301.72,DESCEND
0.2127,0.0181,0.0183,0.0250,0.00661,-0.01495,0.00350,-5.00,0.00,0.00,0.7,125.41,633.34,301.68,DESCEND
0.2228,0.0981,-0.0316,-0.1049,0.00461,-0.00895,-0.00149,-5.00,0.00,0.00,0.8,125.41,633.34,301.62,DESCEND
0.2329,0.0881,0.3283,0.0050,0.01461,0.00404,0.00250,-5.00,0.00,0.00,0.8,125.41,633.34,301.58,DESCEND
0.2430,0.0581,-0.1616,0.2150,0.00461,-0.00295,0.00350,-5.00,0.00,0.00,0.9,125.41,633.34,301.52,DESCEND
0.2531,0.0881,-0.3216,0.1450,0.00061,-0.00595,0.00150,-5.00,0.00,0.00,0.9,125.41,633.34,301.48,DESCEND
0.2632,-0.0518,0.0483,0.0250,-0.00438,-0.00395,0.00150,-5.00,0.00,0.00,1.0,125.41,633.35,301.42,DESCEND
0.2733,0.1481,0.2783,-0.2449,-0.01338,-0.01895,0.00450,-5.00,0.00,0.00,1.0,125.41,633.35,301.38,DESCEND
0.2834,-0.0518,0.1383,-0.0149,-0.01938,-0.01295,0.00650,-5.00,0.00,0.00,1.1,125.41,633.35,301.32,DESCEND
0.2935,0.0881,0.1983,-0.1449,-0.00438,-0.00895,0.00550,-5.00,0.00,0.00,1.1,125.41,633.35,301.28,DESCEND
0.3036,-0.0218,0.1083,0.0350,-0.00438,0.00204,0.00550,-5.00,0.00,0.00,1.2,125.41,633.35,301.22,DESCEND
0.3137,-0.0418,0.0783,0.0850,-0.00838,-0.00795,0.00350,-5.00,0.00,0.00,1.2,125.41,633.36,301.18,DESCEND
0.3238,-0.3118,-0.0916,0.0250,-0.00038,-0.00095,-0.00049,-5.00,0.00,0.00,1.3,125.41,633.36,301.12,DESCEND
0.3339,-0.0218,0.0283,-0.0849,0.00461,-0.02295,0.00950,-5.00,0.00,0.00,1.3,125.41,633.36,301.08,DESCEND
0.3441,-0.1618,-0.2316,0.2850,-0.00438,-0.00995,-0.00049,-5.00,0.00,0.00,1.4,125.41,633.36,301.02,DESCEND
0.3542,-0.1918,0.2383,-0.2549,-0.01338,-0.01195,0.00550,-5.00,0.00,0.00,1.4,125.41,633.36,300.98,DESCEND
0.3643,-0.0018,0.1783,-0.3949,0.00361,-0.01695,0.00650,-5.00,0.00,0.00,1.5,125.41,633.37,300.92,DESCEND
0.3744,-0.1018,-0.0016,-0.2249,-0.02738,-0.02395,0.00150,-5.00,0.00,0.00,1.6,125.41,633.37,300.86,DESCEND
0.3845,0.1881,-0.0116,0.0650,0.00861,0.00304,0.00150,-5.00,0.00,0.00,1.6,125.41,633.37,300.82,DESCEND
0.3947,0.0181,0.0783,0.1250,-0.00338,-0.00795,0.00550,-5.00,0.00,0.00,1.7,125.41,633.37,300.76,DESCEND
0.4048,0.2581,0.0683,0.0650,0.00861,0.00004,0.00250,-5.00,0.00,0.00,1.7,125.41,633.37,300.72,DESCEND
0.4149,0.0181,0.0483,0.1550,0.01361,0.01504,0.00550,-5.00,0.00,0.00,1.8,125.41,633.38,300.66,DESCEND
0.4251,-0.0318,-0.0016,0.2250,0.00261,0.00604,0.00450,-5.00,0.00,0.00,1.8,125.41,633.38,300.62,DESCEND
0.4352,0.2081,0.3283,-0.3249,-0.00338,-0.02195,0.00850,-5.00,0.00,0.00,1.9,125.41,633.38,300.56,DESCEND
0.4453,-0.0318,0.0083,0.3850,-0.00638,-0.00095,0.00150,-5.00,0.00,0.00,1.9,125.41,633.38,300.52,DESCEND
0.4554,0.2781,0.1483,-0.1749,0.01761,-0.01095,0.00350,-5.00,0.00,0.00,2.0,125.41,633.38,300.46,DESCEND
0.4656,-0.1518,0.3383,-0.2449,-0.00338,-0.00795,0.00650,-5.00,0.00,0.00,2.0,125.41,633.38,300.42,DESCEND
0.4757,0.1981,-0.2116,0.2750,0.00461,-0.00195,-0.00049,-5.00,0.00,0.00,2.1,125.41,633.39,300.36,DESCEND
0.4858,-0.0518,-0.0016,0.1550,0.00361,0.00204,0.00250,-5.00,0.00,0.00,2.1,125.41,633.39,300.32,DESCEND
0.4958,-0.1918,-0.2616,0.1550,0.00261,0.00204,0.00550,-5.00,0.00,0.00,2.2,125.41,633.39,300.26,DESCEND
0.5060,-0.0718,0.1983,-0.1149,-0.01438,-0.01295,0.00650,-5.00,0.00,0.00,2.2,125.41,633.39,300.22,DESCEND
0.5161,0.0481,0.1083,0.0050,-0.00038,-0.00895,0.00750,-5.00,0.00,0.00,2.3,125.41,633.39,300.16,DESCEND
0.5262,0.0681,0.1283,0.0950,-0.01138,-0.00795,0.00750,-5.00,0.00,0.00,2.3,125.41,633.39,300.12,DESCEND
0.5363,-0.0818,0.2283,0.1350,-0.01038,0.00004,0.00550,-5.00,0.00,0.00,2.4,125.41,633.40,300.06,DESCEND
0.5465,-0.0918,-0.1016,0.2350,-0.00138,0.00104,0.00650,-5.00,0.00,0.00,2.4,125.41,633.40,300.00,DESCEND
0.5566,-0.0918,0.0583,0.1350,-0.02238,-0.00595,0.00450,-5.00,0.00,0.00,2.5,125.41,633.40,299.96,DESCEND
0.5667,0.0981,0.1583,-0.0349,-0.00738,-0.01095,0.00750,-5.00,0.00,0.00,2.5,125.41,633.40,299.90,DESCEND
0.5768,-0.1818,0.4383,-0.4049,-0.00738,-0.00795,0.01150,-5.00,0.00,0.00,2.6,125.41,633.40,299.86,DESCEND
0.5869,-0.0018,0.0883,0.3150,0.01661,0.01404,0.00350,-5.00,0.00,0.00,2.6,125.41,633.41,299.80,DESCEND
0.5970,0.0181,-0.0116,0.3650,0.00461,0.00004,0.00250,-5.00,0.00,0.00,2.7,125.41,633.41,299.76,DESCEND
0.6071,-0.0318,-0.1316,0.3550,-0.00038,-0.00695,0.00050,-5.00,0.00,0.00,2.7,125.41,633.41,299.70,DESCEND
0.6173,0.0381,-0.2716,0.0650,0.01961,0.00904,0.00150,-5.00,0.00,0.00,2.8,125.41,633.41,299.66,DESCEND
0.6275,-0.0418,-0.1616,0.2350,-0.00238,0.00104,0.00350,-5.00,0.00,0.00,2.8,125.42,633.41,299.60,DESCEND
0.6376,0.0781,-0.2116,0.2150,0.01661,0.00704,0.00150,-5.00,0.00,0.00,2.9,125.42,633.42,299.56,DESCEND
0.6478,0.0581,0.1983,0.1650,-0.00738,-0.00295,0.00350,-5.00,0.00,0.00,2.9,125.42,633.42,299.50,DESCEND
0.6579,0.1381,-0.0216,0.1150,0.01561,0.00704,0.00050,-5.00,0.00,0.00,3.0,125.42,633.42,299.46,DESCEND
0.6680,0.0581,-0.1416,0.4250,-0.00038,-0.00595,0.00450,-5.00,0.00,0.00,3.0,125.42,633.42,299.40,DESCEND
0.6781,-0.0918,-0.0816,0.1450,-0.00338,-0.00195,0.00850,-5.00,0.00,0.00,3.1,125.42,633.42,299.36,DESCEND
0.6882,-0.0418,0.1983,-0.1449,-0.02038,-0.01795,0.00550,-5.00,0.00,0.00,3.1,125.42,633.43,299.30,DESCEND
0.6984,0.0481,-0.1416,0.1150,-0.00638,-0.00495,0.00450,-5.00,0.00,0.00,3.2,125.42,633.43,299.24,DESCEND
0.7085,0.0781,0.1483,0.0850,-0.00438,-0.00795,0.00350,-5.00,0.00,0.00,3.2,125.42,633.43,299.20,DESCEND
0.7186,0.0581,-0.2216,0.1650,0.00761,-0.00195,0.00350,-5.00,0.00,0.00,3.3,125.42,633.43,299.14,DESCEND
0.7288,0.0581,0.2783,0.0250,0.01161,0.00404,0.00650,-5.00,0.00,0.00,3.3,125.42,633.43,299.10,DESCEND
0.7389,-0.0518,0.4383,-0.1149,-0.01338,-0.01795,0.00450,-5.00,0.00,0.00,3.4,125.42,633.43,299.04,DESCEND
0.7491,-0.0118,-0.0916,0.1550,0.00861,-0.00195,0.00650,-5.00,0.00,0.00,3.4,125.42,633.44,299.00,DESCEND
0.7592,0.0981,-0.1016,0.3350,0.00061,-0.00195,0.00150,-5.00,0.00,0.00,3.5,125.42,633.44,298.94,DESCEND
0.7694,-0.0218,-0.1216,0.5250,0.01761,0.00604,0.00250,-5.00,0.00,0.00,3.5,125.42,633.44,298.88,DESCEND
0.7795,0.1481,-0.2416,0.4050,0.00461,0.00604,0.00350,-5.00,0.00,0.00,3.6,125.42,633.44,298.84,DESCEND
0.7896,-0.1118,-0.0916,0.1550,-0.01738,-0.00895,0.00450,-5.00,0.00,0.00,3.6,125.42,633.44,298.78,DESCEND
0.7997,-0.1218,-0.1716,0.3650,-0.02038,-0.00395,0.00550,-5.00,0.00,0.00,3.7,125.42,633.45,298.74,DESCEND
0.8098,-0.0718,0.1583,0.0050,-0.00038,-0.00495,0.00750,-5.00,0.00,0.00,3.7,125.42,633.45,298.68,DESCEND
0.8200,0.1081,0.1583,-0.0449,0.00461,-0.00795,0.00250,-5.00,0.00,0.00,3.8,125.42,633.45,298.64,DESCEND
0.8301,0.0981,0.2183,-0.3349,0.00361,-0.00895,0.00550,-5.00,0.00,0.00,3.8,125.42,633.45,298.58,DESCEND
0.8402,-0.0118,-0.2016,0.1450,-0.00438,-0.01495,0.00250,-5.00,0.00,0.00,3.9,125.42,633.45,298.54,DESCEND
0.8503,0.0881,0.5483,-0.3549,-0.00038,-0.01695,0.00650,-5.00,0.00,0.00,3.9,125.42,633.46,298.48,DESCEND
0.8604,0.0181,-0.1316,0.4350,-0.00738,0.00704,0.00850,-5.00,0.00,0.00,4.0,125.42,633.46,298.44,DESCEND
