time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,0.0071,-0.4340,0.3030,0.00000,-0.00204,-0.00411,-5.00,0.00,0.00,0.0,125.56,633.29,302.39,DESCEND
0.0102,0.0671,-0.3740,0.0130,0.00500,-0.00204,-0.00311,-5.00,0.00,0.00,0.0,125.56,633.29,302.39,DESCEND
0.0203,-0.0428,-0.5440,0.3430,0.00500,0.01695,-0.00211,-5.00,0.00,0.00,0.0,125.56,633.29,302.39,DESCEND
0.0304,0.1571,-0.1740,0.0130,0.01500,-0.00104,-0.00211,-5.00,0.00,0.00,0.0,125.56,633.29,302.38,DESCEND
0.0405,0.0671,-0.2240,0.2230,0.01400,0.00295,-0.00111,-5.00,0.00,0.00,0.0,125.56,633.29,302.36,DESCEND
0.0506,-0.1328,-0.2040,-0.0169,-0.00199,0.00595,-0.00211,-5.00,0.00,0.00,0.0,125.56,633.29,302.35,DESCEND
0.0607,0.0971,-0.5440,0.1030,0.01500,0.00295,-0.00311,-5.00,0.00,0.00,0.1,125.56,633.29,302.33,DESCEND
0.0708,-0.0428,-0.1740,-0.0369,0.00500,-0.00104,-0.00311,-5.00,0.00,0.00,0.1,125.56,633.29,302.31,DESCEND
0.0809,0.0371,-0.3040,0.0830,0.01300,0.00495,-0.00611,-5.00,0.00,0.00,0.1,125.56,633.29,302.27,DESCEND
0.0910,-0.1228,-0.1740,0.0730,-0.00299,0.00295,-0.00011,-5.00,0.00,0.00,0.1,125.56,633.29,302.25,DESCEND
0.1011,-0.1228,-0.2240,0.0030,-0.00799,0.00695,-0.00211,-5.00,0.00,0.00,0.2,125.56,633.30,302.21,DESCEND
0.1113,0.0171,-0.1340,0.0630,0.01100,0.00895,-0.00111,-5.00,0.00,0.00,0.2,125.56,633.30,302.18,DESCEND
0.1214,-0.1328,-0.2840,0.1830,-0.00299,0.00595,-0.00111,-5.00,0.00,0.00,0.3,125.56,633.30,302.13,DESCEND
0.1315,0.0571,-0.0740,-0.1469,0.00000,-0.00304,0.00188,-5.00,0.00,0.00,0.3,125.56,633.30,302.09,DESCEND
0.1416,-0.0128,-0.2040,0.2830,-0.00499,0.00895,0.00088,-5.00,0.00,0.00,0.4,125.56,633.30,302.03,DESCEND
0.1517,0.2371,-0.6740,0.5830,0.00500,0.01595,-0.00811,-5.00,0.00,0.00,0.4,125.56,633.30,301.97,DESCEND
0.1619,0.2571,-0.0840,0.1230,0.00200,0.00795,0.00088,-5.00,0.00,0.00,0.5,125.56,633.31,301.93,DESCEND
0.1720,0.2471,-0.4240,0.4530,0.01900,0.02295,-0.00411,-5.00,0.00,0.00,0.5,125.56,633.31,301.87,DESCEND
0.1822,0.1371,-0.1340,-0.2969,0.00300,0.00495,0.00088,-5.00,0.00,0.00,0.6,125.56,633.31,301.83,DESCEND
0.1923,-0.2628,-0.2040,0.1530,-0.02099,-0.00804,0.00188,-5.00,0.00,0.00,0.6,125.56,633.31,301.77,DESCEND
0.2024,-0.2728,-0.0440,-0.3569,-0.00799,-0.00904,-0.00111,-5.00,0.00,0.00,0.7,125.56,633.31,301.73,DESCEND
0.2126,-0.0728,-0.3040,0.0730,-0.01199,-0.00704,-0.00111,-5.00,0.00,0.00,0.7,125.56,633.31,301.67,DESCEND
0.2227,-0.0928,-0.3640,-0.0369,0.00700,0.00195,-0.00211,-5.00,0.00,0.00,0.8,125.56,633.32,301.63,DESCEND
0.2328,0.0271,-0.2940,0.1130,0.01200,0.00295,-0.00111,-5.00,0.00,0.00,0.8,125.56,633.32,301.57,DESCEND
0.2430,-0.0728,-0.1140,-0.0469,0.02800,0.01695,-0.00011,-5.00,0.00,0.00,0.9,125.56,633.32,301.53,DESCEND
0.2531,0.1371,-0.5440,0.2030,0.00600,0.00495,-0.00411,-5.00,0.00,0.00,0.9,125.56,633.32,301.47,DESCEND
0.2632,-0.0528,-0.2740,0.4030,0.01100,0.01795,0.00088,-5.00,0.00,0.00,1.0,125.56,633.32,301.43,DESCEND
0.2733,0.1771,-0.3040,0.1230,-0.00299,-0.00404,-0.00311,-5.00,0.00,0.00,1.0,125.56,633.33,301.37,DESCEND
0.2834,0.0971,-0.3340,0.2930,-0.00799,0.00795,0.00088,-5.00,0.00,0.00,1.1,125.56,633.33,301.33,DESCEND
0.2935,0.0971,-0.3640,0.1930,0.00900,0.01695,-0.00311,-5.00,0.00,0.00,1.1,125.56,633.33,301.27,DESCEND
0.3036,-0.1028,-0.0140,0.0030,-0.01199,-0.00504,-0.00111,-5.00,0.00,0.00,1.2,125.57,633.33,301.21,DESCEND
0.3137,-0.1128,0.2259,-0.2869,-0.00599,-0.00904,0.00388,-5.00,0.00,0.00,1.2,125.57,633.33,301.17,DESCEND
0.3238,-0.0028,-0.3840,0.3730,-0.00399,0.00295,-0.00311,-5.00,0.00,0.00,1.3,125.57,633.34,301.11,DESCEND
0.3340,-0.0528,-0.2240,0.2430,0.00900,0.01195,-0.00311,-5.00,0.00,0.00,1.3,125.57,633.34,301.07,DESCEND
0.3441,-0.1028,-0.2540,-0.1169,-0.00599,-0.01004,0.00088,-5.00,0.00,0.00,1.4,125.57,633.34,301.01,DESCEND
0.3542,0.0371,-0.3740,0.2330,-0.00099,0.00095,-0.00211,-5.00,0.00,0.00,1.4,125.57,633.34,300.97,DESCEND
0.3643,0.0371,-0.4040,0.1930,0.00600,0.00495,-0.00211,-5.00,0.00,0.00,1.5,125.57,633.34,300.91,DESCEND
0.3744,0.0871,-0.3940,0.1030,0.01400,0.00595,-0.00211,-5.00,0.00,0.00,1.5,125.57,633.34,300.87,DESCEND
0.3846,-0.0628,-0.2540,-0.0169,0.00100,0.00195,-0.00211,-5.00,0.00,0.00,1.6,125.57,633.35,300.81,DESCEND
0.3947,-0.0828,-0.2140,0.3130,0.01400,0.01395,0.00088,-5.00,0.00,0.00,1.6,125.57,633.35,300.77,DESCEND
0.4047,0.0671,-0.1040,0.1430,-0.00999,0.00595,0.00188,-5.00,0.00,0.00,1.7,125.57,633.35,300.71,DESCEND
0.4149,-0.0628,-0.1140,0.0930,0.00600,0.00695,0.00088,-5.00,0.00,0.00,1.7,125.57,633.35,300.67,DESCEND
0.4250,0.0871,-0.2440,0.0230,-0.00399,-0.00404,-0.00211,-5.00,0.00,0.00,1.8,125.57,633.35,300.61,DESCEND
0.4351,0.0671,-0.1940,-0.0569,0.01900,0.00395,0.00088,-5.00,0.00,0.00,1.8,125.57,633.36,300.57,DESCEND
0.4452,-0.1628,-0.2140,0.3030,-0.02299,-0.00904,0.00088,-5.00,0.00,0.00,1.9,125.57,633.36,300.51,DESCEND
0.4553,-0.1528,-0.1540,0.2830,-0.00499,0.00595,0.00288,-5.00,0.00,0.00,1.9,125.57,633.36,300.47,DESCEND
