time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.0620,-0.1696,0.2366,-0.00701,-0.00082,0.00041,-5.00,0.00,0.00,0.0,125.49,633.28,302.46,DESCEND
0.0102,-0.1520,0.0303,0.0666,-0.01301,-0.00682,-0.00258,-5.00,0.00,0.00,0.0,125.49,633.28,302.46,DESCEND
0.0203,-0.0820,-0.0896,0.0666,-0.01701,-0.00382,0.00241,-5.00,0.00,0.00,0.0,125.49,633.28,302.46,DESCEND
0.0304,-0.1720,0.3703,-0.1533,-0.00201,0.00117,0.00841,-5.00,0.00,0.00,0.0,125.49,633.28,302.45,DESCEND
0.0406,0.0279,0.1303,-0.1333,-0.00301,-0.00282,-0.00058,-5.00,0.00,0.00,0.0,125.49,633.28,302.44,DESCEND
0.0507,-0.0720,-0.1996,0.3566,-0.00701,0.00117,0.00041,-5.00,0.00,0.00,0.0,125.49,633.28,302.42,DESCEND
0.0609,-0.0420,0.1403,-0.0433,-0.01401,-0.01382,0.00241,-5.00,0.00,0.00,0.1,125.49,633.28,302.40,DESCEND
0.0710,0.2579,-0.2496,0.0566,0.00598,-0.00582,-0.00258,-5.00,0.00,0.00,0.1,125.49,633.28,302.38,DESCEND
0.0811,0.1979,-0.0896,0.1866,0.01398,-0.00082,-0.00058,-5.00,0.00,0.00,0.1,125.49,633.28,302.35,DESCEND
0.0912,-0.1320,-0.1296,0.4566,-0.01401,-0.00082,-0.00058,-5.00,0.00,0.00,0.1,125.49,633.29,302.32,DESCEND
0.1014,0.1679,-0.1796,-0.0333,0.00798,-0.00282,-0.00058,-5.00,0.00,0.00,0.2,125.49,633.29,302.29,DESCEND
0.1114,-0.1320,0.2103,-0.2533,-0.01801,-0.00682,0.00241,-5.00,0.00,0.00,0.2,125.49,633.29,302.25,DESCEND
0.1216,0.0179,0.2003,-0.1233,0.00798,0.00317,-0.00058,-5.00,0.00,0.00,0.3,125.49,633.29,302.20,DESCEND
0.1317,0.1379,-0.2296,-0.0133,0.01298,0.00017,-0.00258,-5.00,0.00,0.00,0.3,125.49,633.29,302.16,DESCEND
0.1418,-0.0320,0.0603,-0.0033,-0.02401,-0.00682,0.00141,-5.00,0.00,0.00,0.4,125.49,633.29,302.10,DESCEND
0.1520,0.1579,-0.1896,-0.1133,-0.01201,-0.01282,-0.00058,-5.00,0.00,0.00,0.4,125.49,633.30,302.06,DESCEND
