time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.1676,-0.1775,0.2584,-0.00640,0.00323,-0.00112,-5.00,0.00,0.00,0.0,125.51,633.27,302.47,DESCEND
0.0101,-0.1076,0.1124,-0.3115,-0.02540,-0.01476,0.00087,-5.00,0.00,0.00,0.0,125.51,633.27,302.47,DESCEND
0.0202,-0.1376,-0.2675,0.3784,-0.00940,0.00423,-0.00512,-5.00,0.00,0.00,0.0,125.51,633.27,302.46,DESCEND
0.0304,0.0823,-0.1675,0.2484,-0.00440,-0.00576,-0.00112,-5.00,0.00,0.00,0.0,125.51,633.27,302.46,DESCEND
0.0405,-0.0376,-0.1175,0.4584,-0.00940,-0.00176,-0.00212,-5.00,0.00,0.00,0.0,125.51,633.27,302.44,DESCEND
0.0506,0.0323,-0.0975,0.0184,-0.01440,-0.00676,-0.00012,-5.00,0.00,0.00,0.0,125.51,633.27,302.43,DESCEND
0.0607,-0.0176,-0.2475,0.3984,-0.00840,-0.00276,-0.00212,-5.00,0.00,0.00,0.1,125.51,633.27,302.40,DESCEND
0.0708,-0.3176,-0.2275,0.5784,-0.02140,0.00623,-0.00512,-5.00,0.00,0.00,0.1,125.51,633.27,302.38,DESCEND
0.0809,-0.0176,-0.4575,0.6084,0.00859,0.01223,-0.00412,-5.00,0.00,0.00,0.1,125.51,633.27,302.35,DESCEND
0.0910,-0.0676,-0.4775,0.3284,0.00359,0.00423,-0.00412,-5.00,0.00,0.00,0.1,125.51,633.28,302.33,DESCEND
0.1011,0.0323,0.0024,0.1984,0.00159,0.00523,-0.00012,-5.00,0.00,0.00,0.2,125.51,633.28,302.28,DESCEND
0.1112,-0.0376,-0.3975,0.1684,-0.00140,0.00223,-0.00412,-5.00,0.00,0.00,0.2,125.51,633.28,302.25,DESCEND
0.1213,-0.0176,-0.0975,0.0184,-0.02540,-0.01776,-0.00112,-5.00,0.00,0.00,0.3,125.51,633.28,302.20,DESCEND
0.1314,-0.1476,0.0224,-0.0915,-0.01740,-0.01176,0.00187,-5.00,0.00,0.00,0.3,125.51,633.28,302.17,DESCEND
0.1415,0.2823,-0.1475,-0.1815,0.01859,-0.00576,0.00087,-5.00,0.00,0.00,0.4,125.51,633.28,302.11,DESCEND
0.1516,0.1423,0.1724,0.0984,0.00159,0.00423,0.00087,-5.00,0.00,0.00,0.4,125.51,633.29,302.05,DESCEND
0.1617,0.2123,-0.0775,0.1084,-0.01140,0.00123,-0.00012,-5.00,0.00,0.00,0.5,125.51,633.29,302.01,DESCEND
0.1718,0.2123,0.0824,0.0684,-0.00540,0.00523,-0.00212,-5.00,0.00,0.00,0.5,125.51,633.29,301.95,DESCEND
