time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z
0.0035,-0.0805,-0.0352,-0.0605,-0.00184,0.00063,0.00085,-5.00,0.00,0.00,0.0,102.91,650.31,302.28
0.0137,-0.0705,-0.3052,0.2894,0.01215,0.01463,-0.00314,-5.00,0.00,0.00,0.0,102.91,650.31,302.28
0.0245,-0.3705,-0.1452,0.1294,-0.00884,0.00863,-0.00114,-5.00,0.00,0.00,0.0,102.91,650.31,302.27
0.0341,0.0194,-0.0252,0.1494,0.01815,0.01063,-0.00214,-5.00,0.00,0.00,0.0,102.91,650.31,302.26
0.0442,-0.0005,-0.0452,-0.1905,0.01615,0.00963,-0.00514,-5.00,0.00,0.00,0.0,102.91,650.31,302.25
0.0544,0.0594,-0.1452,0.0994,0.01015,0.00063,-0.00414,-5.00,0.00,0.00,0.1,102.91,650.31,302.23
0.0642,-0.1905,-0.2352,0.1494,0.00015,0.00363,-0.00514,-5.00,0.00,0.00,0.1,102.91,650.31,302.21
0.0736,-0.1205,0.2347,-0.4805,0.00615,-0.00136,0.00285,-5.00,0.00,0.00,0.1,102.91,650.31,302.19
0.0845,-0.2505,-0.4952,0.2594,0.01415,0.01963,-0.00414,-5.00,0.00,0.00,0.1,102.91,650.31,302.16
0.0946,0.0094,-0.2452,0.5494,0.01215,0.01763,-0.00314,-5.00,0.00,0.00,0.2,102.91,650.31,302.12
0.1043,-0.2205,-0.2252,0.3394,0.02115,0.01863,-0.00214,-5.00,0.00,0.00,0.2,102.91,650.32,302.09
0.1149,-0.0905,-0.0252,0.1794,0.00915,0.00763,0.00185,-5.00,0.00,0.00,0.2,102.91,650.32,302.04
0.1251,-0.0205,-0.1352,0.1294,0.00615,0.00363,-0.00314,-5.00,0.00,0.00,0.3,102.91,650.32,302.01
0.1349,-0.1705,-0.0552,0.0694,-0.00584,0.00863,-0.00214,-5.00,0.00,0.00,0.3,102.91,650.32,301.95
0.1452,0.0394,-0.2352,0.2894,0.01215,0.00963,-0.00414,-5.00,0.00,0.00,0.4,102.91,650.32,301.91
0.1557,0.0094,-0.1452,0.2494,0.01615,0.02163,-0.00014,-5.00,0.00,0.00,0.4,102.91,650.32,301.85
0.1652,0.0694,-0.0252,0.1394,0.00815,0.01663,-0.00314,-5.00,0.00,0.00,0.5,102.91,650.33,301.81
0.1755,0.0194,0.3447,-0.0205,-0.01184,0.01263,0.00085,-5.00,0.00,0.00,0.5,102.91,650.33,301.75
0.1857,0.1394,-0.0252,0.0094,0.01715,0.01163,0.00085,-5.00,0.00,0.00,0.6,102.91,650.33,301.71
0.1956,-0.0405,-0.1452,0.3094,0.01015,0.00263,-0.00114,-5.00,0.00,0.00,0.6,102.91,650.33,301.65
0.2056,0.0194,0.0147,-0.1705,0.01215,-0.00236,-0.00314,-5.00,0.00,0.00,0.7,102.91,650.33,301.61
0.2163,-0.0605,-0.2752,0.4094,0.01015,-0.00636,-0.00414,-5.00,0.00,0.00,0.7,102.91,650.34,301.55
0.2261,-0.0605,-0.3452,0.1994,-0.00184,-0.00736,-0.00214,-5.00,0.00,0.00,0.8,102.91,650.34,301.49
0.2362,-0.2605,-0.1752,0.0194,-0.00584,-0.00236,-0.00314,-5.00,0.00,0.00,0.8,102.91,650.34,301.45
0.2463,0.0294,-0.3052,0.3794,0.00615,0.01263,-0.00514,-5.00,0.00,0.00,0.9,102.91,650.34,301.39
0.2565,0.1294,-0.0052,-0.1205,0.01115,0.00463,0.00085,-5.00,0.00,0.00,0.9,102.91,650.34,301.35
0.2669,-0.1005,-0.1452,0.2994,-0.00784,0.00963,-0.00314,-5.00,0.00,0.00,1.0,102.91,650.35,301.29
0.2769,0.1394,-0.1052,0.2194,0.01815,0.01863,-0.00114,-5.00,0.00,0.00,1.0,102.91,650.35,301.25
0.2868,-0.3005,-0.1552,0.4294,0.01015,0.02263,-0.00114,-5.00,0.00,0.00,1.1,102.91,650.35,301.19
0.2969,0.0394,-0.3752,-0.0005,0.01415,0.00363,-0.00514,-5.00,0.00,0.00,1.1,102.91,650.35,301.15
0.3069,-0.1005,-0.2252,0.3194,0.00115,0.00263,-0.00314,-5.00,0.00,0.00,1.2,102.91,650.35,301.09
0.3170,0.0994,-0.1052,0.1094,0.00715,-0.00036,-0.00114,-5.00,0.00,0.00,1.2,102.91,650.35,301.05
0.3272,-0.1405,0.0647,0.2594,-0.00384,0.00263,-0.00314,-5.00,0.00,0.00,1.3,102.91,650.36,300.99
0.3373,0.0494,-0.1752,-0.1705,0.00615,-0.01436,-0.00114,-5.00,0.00,0.00,1.3,102.91,650.36,300.95
0.3474,-0.1805,-0.1452,0.3594,-0.00184,0.00063,-0.00314,-5.00,0.00,0.00,1.4,102.91,650.36,300.89
0.3573,-0.1805,0.0747,-0.0305,0.00015,-0.00636,0.00185,-5.00,0.00,0.00,1.4,102.91,650.36,300.85
0.3676,-0.0105,-0.3252,0.1294,0.01515,0.00863,-0.00114,-5.00,0.00,0.00,1.5,102.91,650.36,300.79
0.3778,-0.1805,-0.3852,0.2594,0.00815,0.01063,-0.00314,-5.00,0.00,0.00,1.5,102.91,650.37,300.75
0.3879,-0.1705,-0.0452,-0.0105,0.01715,0.01363,0.00085,-5.00,0.00,0.00,1.6,102.92,650.37,300.69
0.3980,-0.1105,-0.1052,0.1494,0.00515,0.01063,-0.00114,-5.00,0.00,0.00,1.7,102.92,650.37,300.63
0.4081,0.0794,-0.6552,0.6894,0.01615,0.02363,-0.00614,-5.00,0.00,0.00,1.7,102.92,650.37,300.59
0.4182,0.0594,-0.0252,0.0294,0.01215,0.00363,-0.00214,-5.00,0.00,0.00,1.8,102.92,650.37,300.53
0.4285,-0.0305,-0.2152,0.3094,0.00515,0.00663,-0.00014,-5.00,0.00,0.00,1.8,102.92,650.37,300.49
0.4386,-0.3505,-0.4052,0.5994,0.00015,0.01863,-0.00214,-5.00,0.00,0.00,1.9,102.92,650.38,300.43
0.4486,-0.1705,-0.1252,0.3694,0.00115,0.01063,-0.00014,-5.00,0.00,0.00,1.9,102.92,650.38,300.39
0.4588,-0.1805,-0.1252,0.2494,0.00115,0.00763,0.00185,-5.00,0.00,0.00,2.0,102.92,650.38,300.33
0.4687,-0.1305,-0.1752,0.1794,-0.00184,0.00363,-0.00314,-5.00,0.00,0.00,2.0,102.92,650.38,300.29
0.4790,0.0894,-0.0352,-0.0205,0.01115,-0.00836,-0.00214,-5.00,0.00,0.00,2.1,102.92,650.38,300.23
0.4892,0.0094,-0.1552,0.2094,0.01715,0.01263,-0.00214,-5.00,0.00,0.00,2.1,102.92,650.39,300.19
0.4992,-0.1605,0.0347,-0.0405,0.01315,0.00363,-0.00114,-5.00,0.00,0.00,2.2,102.92,650.39,300.13
0.5093,-0.0105,-0.1252,0.0694,0.02515,0.00963,-0.00014,-5.00,0.00,0.00,2.2,102.92,650.39,300.09
0.5200,-0.1005,-0.4852,0.4994,0.01015,0.01263,-0.00414,-5.00,0.00,0.00,2.3,102.92,650.39,300.03
0.5295,-0.1105,0.0247,-0.0205,0.00115,0.00363,0.00185,-5.00,0.00,0.00,2.3,102.92,650.39,299.99
0.5397,0.0194,0.0347,0.0894,-0.00784,-0.00236,0.00185,-5.00,0.00,0.00,2.4,102.92,650.40,299.93
0.5498,-0.2205,-0.4652,0.7194,0.00415,0.01263,-0.00114,-5.00,0.00,0.00,2.4,102.92,650.40,299.89
0.5599,-0.2005,0.2347,0.0294,0.00215,-0.00336,0.00385,-5.00,0.00,0.00,2.5,102.92,650.40,299.83
0.5700,-0.3605,-0.2752,0.2094,0.00115,0.01063,-0.00014,-5.00,0.00,0.00,2.5,102.92,650.40,299.77
0.5803,-0.1805,-0.1252,0.1094,-0.01184,0.00463,-0.00414,-5.00,0.00,0.00,2.6,102.92,650.40,299.73
0.5907,-0.1505,-0.0252,-0.0805,0.00315,0.00263,0.00285,-5.00,0.00,0.00,2.6,102.92,650.41,299.67
0.6006,-0.0405,-0.2752,0.0694,0.00615,-0.00236,-0.00214,-5.00,0.00,0.00,2.7,102.92,650.41,299.63
0.6109,-0.2005,-0.1452,-0.0705,-0.00184,0.00663,0.00085,-5.00,0.00,0.00,2.7,102.92,650.41,299.57
0.6212,0.0794,-0.1352,0.1594,0.02615,0.01063,-0.00014,-5.00,0.00,0.00,2.8,102.92,650.41,299.53
0.6312,-0.0805,-0.0752,-0.2205,-0.00184,-0.00336,-0.00114,-5.00,0.00,0.00,2.8,102.92,650.41,299.47
0.6411,-0.0005,-0.3352,0.1894,0.02915,0.01263,-0.00314,-5.00,0.00,0.00,2.9,102.92,650.41,299.43
0.6510,-0.0805,-0.5352,0.2994,0.00615,0.00963,-0.00014,-5.00,0.00,0.00,2.9,102.92,650.42,299.37
0.6617,0.1194,-0.3552,0.2694,0.01415,0.00263,-0.00214,-5.00,0.00,0.00,3.0,102.92,650.42,299.33
0.6720,-0.0705,-0.2252,0.4194,0.00015,0.00863,-0.00114,-5.00,0.00,0.00,3.0,102.92,650.42,299.27
0.6818,-0.0905,0.0947,-0.3005,-0.00284,-0.00436,0.00185,-5.00,0.00,0.00,3.1,102.92,650.42,299.23
0.6926,-0.0305,-0.2852,0.4794,-0.00684,0.00363,-0.00114,-5.00,0.00,0.00,3.1,102.92,650.42,299.17
0.7019,-0.2605,-0.2352,0.2394,0.00615,0.01863,-0.00214,-5.00,0.00,0.00,3.2,102.92,650.43,299.13
0.7124,-0.2005,-0.3652,0.3494,-0.00984,0.00663,-0.00014,-5.00,0.00,0.00,3.2,102.92,650.43,299.07
0.7224,-0.0005,0.0047,-0.0205,-0.00184,-0.00536,0.00185,-5.00,0.00,0.00,3.3,102.92,650.43,299.03
