time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.0815,0.0561,-0.0826,-0.00406,0.00048,0.00430,-5.00,0.00,0.00,0.0,125.69,633.23,302.41,DESCEND
0.0101,-0.0915,0.3761,-0.3526,-0.00506,-0.00851,0.00330,-5.00,0.00,0.00,0.0,125.69,633.23,302.41,DESCEND
0.0202,0.0884,0.3861,-0.4126,0.01693,0.01048,0.00030,-5.00,0.00,0.00,0.0,125.69,633.23,302.41,DESCEND
0.0303,0.3084,0.2361,-0.0526,0.00793,-0.01251,0.00030,-5.00,0.00,0.00,0.0,125.69,633.23,302.40,DESCEND
0.0404,-0.1215,0.6461,-0.6526,0.00893,-0.00151,0.00330,-5.00,0.00,0.00,0.0,125.69,633.23,302.39,DESCEND
0.0506,-0.0815,0.2161,-0.2826,-0.00106,-0.00451,-0.00069,-5.00,0.00,0.00,0.0,125.69,633.23,302.37,DESCEND
0.0607,0.0784,-0.0438,0.0073,0.00193,-0.00551,0.00030,-5.00,0.00,0.00,0.1,125.69,633.23,302.36,DESCEND
0.0708,-0.0115,0.3961,-0.3526,-0.00906,-0.00851,0.00230,-5.00,0.00,0.00,0.1,125.69,633.23,302.33,DESCEND
0.0809,0.0184,0.1761,-0.3726,-0.00806,-0.00851,-0.00069,-5.00,0.00,0.00,0.1,125.69,633.23,302.31,DESCEND
0.0910,0.0884,0.2961,-0.2326,0.00793,0.00248,0.00230,-5.00,0.00,0.00,0.1,125.69,633.24,302.27,DESCEND
0.1011,-0.0915,0.2961,0.0273,-0.00306,0.00248,0.00030,-5.00,0.00,0.00,0.2,125.69,633.24,302.25,DESCEND
0.1111,0.0684,-0.0238,-0.1626,0.01093,0.00348,-0.00069,-5.00,0.00,0.00,0.2,125.69,633.24,302.20,DESCEND
0.1212,0.0584,-0.0238,-0.1626,0.01093,-0.00651,0.00230,-5.00,0.00,0.00,0.2,125.69,633.24,302.17,DESCEND
0.1313,0.0484,0.0461,-0.0026,-0.01206,-0.01051,0.00030,-5.00,0.00,0.00,0.3,125.69,633.24,302.12,DESCEND
0.1414,0.2784,0.0261,-0.0226,0.02693,0.01648,0.00030,-5.00,0.00,0.00,0.3,125.69,633.24,302.08,DESCEND
0.1515,0.2384,0.3361,-0.2626,0.01193,0.00448,0.00230,-5.00,0.00,0.00,0.4,125.69,633.25,302.02,DESCEND
0.1616,0.2284,0.1561,-0.3326,0.00693,0.01148,-0.00069,-5.00,0.00,0.00,0.5,125.69,633.25,301.96,DESCEND
0.1717,-0.0415,0.5161,-0.2326,-0.02006,-0.00051,-0.00069,-5.00,0.00,0.00,0.5,125.69,633.25,301.92,DESCEND
0.1818,0.0084,0.2261,-0.2026,-0.01906,-0.01451,0.00530,-5.00,0.00,0.00,0.6,125.69,633.25,301.86,DESCEND
0.1919,-0.0115,0.3661,-0.2726,-0.00706,-0.01251,0.00230,-5.00,0.00,0.00,0.6,125.69,633.25,301.82,DESCEND
0.2020,0.0784,-0.0538,-0.1826,0.01593,0.00448,0.00230,-5.00,0.00,0.00,0.7,125.69,633.26,301.76,DESCEND
0.2121,-0.1215,0.1361,0.1473,0.01793,0.00648,0.00030,-5.00,0.00,0.00,0.7,125.69,633.26,301.72,DESCEND
0.2222,-0.0515,0.0961,0.0473,-0.00706,-0.00351,0.00130,-5.00,0.00,0.00,0.8,125.69,633.26,301.66,DESCEND
0.2323,-0.0115,0.5661,-0.5226,0.00793,-0.00851,0.00530,-5.00,0.00,0.00,0.8,125.69,633.26,301.62,DESCEND
0.2424,0.1384,0.1561,-0.3326,0.01093,0.00148,0.00530,-5.00,0.00,0.00,0.9,125.69,633.26,301.56,DESCEND
0.2525,-0.0815,0.0661,0.0473,0.00693,0.00948,-0.00069,-5.00,0.00,0.00,0.9,125.69,633.26,301.52,DESCEND
0.2625,-0.0415,0.3261,-0.2926,-0.00206,-0.00651,0.00330,-5.00,0.00,0.00,1.0,125.69,633.27,301.46,DESCEND
0.2726,0.0784,0.3561,-0.5226,-0.00106,0.00348,-0.00069,-5.00,0.00,0.00,1.0,125.69,633.27,301.42,DESCEND
0.2827,0.0784,0.2661,-0.4026,-0.00106,-0.00551,0.00430,-5.00,0.00,0.00,1.1,125.69,633.27,301.36,DESCEND
