time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.1341,0.3638,-0.6201,-0.02889,-0.01843,0.00633,-5.00,0.00,0.00,0.0,125.49,633.31,302.41,DESCEND
0.0101,-0.0041,0.2438,-0.1701,0.00510,0.00556,0.00233,-5.00,0.00,0.00,0.0,125.49,633.31,302.41,DESCEND
0.0203,0.0658,0.0538,-0.1101,-0.00989,-0.00343,0.00033,-5.00,0.00,0.00,0.0,125.49,633.31,302.41,DESCEND
0.0304,0.0158,-0.2261,0.3498,-0.00189,0.00656,0.00033,-5.00,0.00,0.00,0.0,125.49,633.31,302.40,DESCEND
0.0405,-0.0341,-0.2861,0.1398,0.00310,0.00356,-0.00066,-5.00,0.00,0.00,0.0,125.49,633.31,302.38,DESCEND
0.0507,-0.1041,0.2638,0.0798,-0.01089,-0.00243,0.00433,-5.00,0.00,0.00,0.0,125.49,633.31,302.37,DESCEND
0.0609,0.1058,0.1138,0.1498,0.00910,0.01156,0.00033,-5.00,0.00,0.00,0.1,125.49,633.31,302.35,DESCEND
0.0710,0.0858,0.1438,-0.0901,-0.00589,-0.00943,-0.00066,-5.00,0.00,0.00,0.1,125.49,633.31,302.33,DESCEND
0.0811,-0.0541,0.0638,0.0398,-0.00789,-0.00543,0.00133,-5.00,0.00,0.00,0.1,125.49,633.31,302.29,DESCEND
0.0912,-0.1341,-0.2661,0.0998,-0.02289,-0.00443,0.00033,-5.00,0.00,0.00,0.1,125.49,633.31,302.27,DESCEND
0.1014,0.1558,0.1438,0.0398,0.00610,-0.00243,0.00033,-5.00,0.00,0.00,0.2,125.49,633.31,302.23,DESCEND
0.1115,0.1558,0.0838,0.0498,-0.00189,-0.00243,0.00033,-5.00,0.00,0.00,0.2,125.50,633.32,302.18,DESCEND
0.1216,0.0158,0.2738,-0.0701,0.00810,-0.00143,0.00233,-5.00,0.00,0.00,0.3,125.50,633.32,302.14,DESCEND
0.1317,-0.0241,-0.0361,-0.0601,0.00110,0.00456,-0.00366,-5.00,0.00,0.00,0.3,125.50,633.32,302.09,DESCEND
0.1418,0.1958,0.0038,0.0898,0.01110,0.01456,0.00133,-5.00,0.00,0.00,0.4,125.50,633.32,302.05,DESCEND
0.1520,0.1358,-0.0161,0.0698,0.01410,0.02056,-0.00166,-5.00,0.00,0.00,0.4,125.50,633.32,301.98,DESCEND
0.1621,0.0758,-0.1161,0.4198,-0.01089,0.02556,0.00033,-5.00,0.00,0.00,0.5,125.50,633.33,301.94,DESCEND
0.1722,0.1458,0.1938,0.2498,-0.01389,0.00756,0.00233,-5.00,0.00,0.00,0.5,125.50,633.33,301.88,DESCEND
0.1823,0.0558,0.2638,-0.3001,-0.01989,-0.01843,0.00433,-5.00,0.00,0.00,0.6,125.50,633.33,301.84,DESCEND
0.1924,0.1158,0.1338,-0.1101,0.01110,-0.00643,-0.00166,-5.00,0.00,0.00,0.6,125.50,633.33,301.78,DESCEND
0.2025,-0.0941,0.2038,-0.1801,-0.00889,-0.01143,0.00233,-5.00,0.00,0.00,0.7,125.50,633.33,301.74,DESCEND
0.2126,-0.0241,-0.0661,0.1198,0.00810,-0.00343,0.00333,-5.00,0.00,0.00,0.7,125.50,633.33,301.68,DESCEND
0.2227,-0.0641,0.0738,-0.0401,0.00410,-0.01643,-0.00066,-5.00,0.00,0.00,0.8,125.50,633.34,301.64,DESCEND
0.2328,0.0358,0.0238,-0.0001,0.02010,0.00056,-0.00166,-5.00,0.00,0.00,0.8,125.50,633.34,301.58,DESCEND
0.2429,0.1658,0.0638,-0.0801,0.02110,0.00556,-0.00166,-5.00,0.00,0.00,0.9,125.50,633.34,301.54,DESCEND
0.2531,0.1758,-0.0861,0.0098,0.02010,0.00856,-0.00266,-5.00,0.00,0.00,0.9,125.50,633.34,301.48,DESCEND
