time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.0358,-0.2533,0.0061,-0.00900,-0.00618,-0.00235,-5.00,0.00,0.00,0.0,125.49,633.29,302.47,DESCEND
0.0101,0.1741,-0.1533,-0.0238,0.00699,-0.00818,-0.00035,-5.00,0.00,0.00,0.0,125.49,633.29,302.47,DESCEND
0.0203,0.0041,-0.0033,-0.0038,0.01299,0.00481,-0.00335,-5.00,0.00,0.00,0.0,125.49,633.29,302.46,DESCEND
0.0304,0.1841,-0.0533,0.1761,0.01199,0.00181,0.00164,-5.00,0.00,0.00,0.0,125.49,633.29,302.45,DESCEND
0.0406,-0.1558,0.2766,-0.0638,-0.01400,-0.00118,0.00264,-5.00,0.00,0.00,0.0,125.49,633.29,302.44,DESCEND
0.0507,-0.0658,-0.0133,0.1261,-0.00400,0.00781,-0.00135,-5.00,0.00,0.00,0.1,125.49,633.29,302.42,DESCEND
0.0608,-0.1258,-0.0333,0.1961,-0.01200,0.00881,0.00064,-5.00,0.00,0.00,0.1,125.49,633.29,302.40,DESCEND
0.0709,0.2741,0.0566,-0.0338,0.00599,-0.00218,-0.00035,-5.00,0.00,0.00,0.1,125.49,633.30,302.37,DESCEND
0.0811,-0.0458,0.2366,-0.3838,-0.00100,-0.00618,0.00364,-5.00,0.00,0.00,0.1,125.49,633.30,302.35,DESCEND
0.0912,-0.0058,-0.3833,0.1661,-0.00400,0.00281,-0.00235,-5.00,0.00,0.00,0.2,125.49,633.30,302.31,DESCEND
0.1013,0.0941,0.1466,-0.2538,0.01399,0.00681,-0.00035,-5.00,0.00,0.00,0.2,125.49,633.30,302.28,DESCEND
0.1114,0.1441,0.0466,-0.1938,0.00099,-0.00718,0.00064,-5.00,0.00,0.00,0.2,125.49,633.30,302.23,DESCEND
0.1216,-0.0758,0.0066,-0.2438,-0.00900,-0.00218,0.00164,-5.00,0.00,0.00,0.3,125.49,633.30,302.20,DESCEND
0.1317,-0.1058,0.2366,-0.0638,-0.00500,-0.00018,-0.00035,-5.00,0.00,0.00,0.3,125.49,633.30,302.14,DESCEND
0.1418,0.0341,-0.5333,0.3361,-0.00600,0.00181,-0.00235,-5.00,0.00,0.00,0.4,125.49,633.31,302.10,DESCEND
0.1519,-0.0258,0.0066,0.0861,0.00599,0.02381,-0.00035,-5.00,0.00,0.00,0.4,125.49,633.31,302.04,DESCEND
0.1620,0.2141,-0.1433,0.0561,0.00699,0.02181,-0.00135,-5.00,0.00,0.00,0.5,125.49,633.31,302.00,DESCEND
0.1721,0.3141,-0.2033,0.2061,-0.00700,-0.00118,-0.00235,-5.00,0.00,0.00,0.5,125.49,633.31,301.94,DESCEND
0.1822,0.2041,0.0466,-0.0338,-0.00400,-0.00618,0.00064,-5.00,0.00,0.00,0.6,125.49,633.31,301.90,DESCEND
0.1923,-0.0858,0.2266,-0.1738,-0.01000,-0.01318,0.00364,-5.00,0.00,0.00,0.6,125.49,633.31,301.84,DESCEND
0.2024,0.1141,-0.1733,-0.0038,0.00899,-0.01418,0.00164,-5.00,0.00,0.00,0.7,125.49,633.32,301.80,DESCEND
0.2125,0.1141,0.0466,-0.2838,0.01799,0.00281,-0.00135,-5.00,0.00,0.00,0.7,125.49,633.32,301.74,DESCEND
0.2227,0.0041,-0.0233,-0.1438,0.00599,-0.01118,-0.00135,-5.00,0.00,0.00,0.8,125.49,633.32,301.68,DESCEND
0.2328,-0.0058,-0.0933,-0.2938,0.01399,-0.00218,-0.00035,-5.00,0.00,0.00,0.8,125.49,633.32,301.64,DESCEND
0.2429,0.1641,0.0066,-0.1738,0.01699,-0.00018,0.00364,-5.00,0.00,0.00,0.9,125.49,633.32,301.58,DESCEND
0.2530,-0.0058,0.1666,0.1161,-0.01000,0.00381,-0.00235,-5.00,0.00,0.00,0.9,125.49,633.33,301.54,DESCEND
0.2631,0.0941,0.1366,-0.2538,-0.01400,-0.00518,0.00064,-5.00,0.00,0.00,1.0,125.49,633.33,301.48,DESCEND
0.2733,0.1241,0.0766,-0.0638,0.01299,0.00781,-0.00035,-5.00,0.00,0.00,1.0,125.49,633.33,301.44,DESCEND
0.2834,0.3341,0.2266,-0.1838,0.00999,0.00281,0.00064,-5.00,0.00,0.00,1.1,125.49,633.33,301.38,DESCEND
0.2935,0.2441,0.0366,-0.1738,0.00299,-0.00218,0.00264,-5.00,0.00,0.00,1.1,125.49,633.33,301.34,DESCEND
0.3036,0.1841,0.2966,-0.3838,0.00699,-0.00918,0.00364,-5.00,0.00,0.00,1.2,125.49,633.34,301.28,DESCEND
0.3137,0.0141,0.0666,-0.0038,0.01699,0.00181,0.00264,-5.00,0.00,0.00,1.2,125.49,633.34,301.24,DESCEND
