time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.0623,0.0942,-0.0113,-0.00821,-0.00618,-0.00207,-5.00,0.00,0.00,0.0,125.52,633.29,302.47,DESCEND
0.0101,-0.0323,-0.1757,0.5686,-0.00421,-0.00118,-0.00407,-5.00,0.00,0.00,0.0,125.52,633.29,302.47,DESCEND
0.0203,0.1176,-0.2257,0.2886,-0.00221,-0.00118,-0.00407,-5.00,0.00,0.00,0.0,125.52,633.29,302.47,DESCEND
0.0304,0.2076,0.1142,0.2986,0.00278,-0.00718,-0.00107,-5.00,0.00,0.00,0.0,125.52,633.29,302.46,DESCEND
0.0405,-0.0423,-0.3057,0.6586,-0.00221,0.00181,-0.00007,-5.00,0.00,0.00,0.0,125.52,633.29,302.44,DESCEND
0.0507,0.2776,-0.3057,0.3686,0.01478,0.00481,-0.00507,-5.00,0.00,0.00,0.0,125.52,633.29,302.43,DESCEND
0.0608,0.1776,-0.1257,0.4086,-0.00021,0.00281,-0.00207,-5.00,0.00,0.00,0.1,125.52,633.29,302.40,DESCEND
0.0711,0.1176,-0.3157,0.6686,0.01378,0.00981,-0.00407,-5.00,0.00,0.00,0.1,125.52,633.29,302.38,DESCEND
0.0812,0.0376,-0.2057,0.4586,-0.00721,0.00181,-0.00007,-5.00,0.00,0.00,0.1,125.52,633.29,302.35,DESCEND
0.0913,0.1176,-0.3157,0.3686,0.00578,0.00181,-0.00207,-5.00,0.00,0.00,0.1,125.52,633.29,302.33,DESCEND
0.1014,0.0776,-0.2157,0.3286,-0.01721,-0.00318,-0.00307,-5.00,0.00,0.00,0.2,125.52,633.29,302.28,DESCEND
0.1116,0.0176,-0.3357,0.3886,-0.01421,0.00381,-0.00107,-5.00,0.00,0.00,0.2,125.52,633.30,302.24,DESCEND
0.1217,0.0676,-0.3357,0.0686,-0.01421,-0.00318,-0.00407,-5.00,0.00,0.00,0.3,125.52,633.30,302.20,DESCEND
0.1318,0.2076,-0.0457,0.1586,-0.00021,-0.00118,-0.00207,-5.00,0.00,0.00,0.3,125.52,633.30,302.14,DESCEND
0.1420,0.2076,-0.2757,0.4386,0.00678,0.01081,-0.00407,-5.00,0.00,0.00,0.4,125.52,633.30,302.10,DESCEND
0.1521,0.1276,0.2442,0.1486,-0.01721,0.00381,-0.00107,-5.00,0.00,0.00,0.4,125.52,633.30,302.04,DESCEND
0.1622,0.0376,-0.2457,0.0686,-0.00921,0.01781,-0.00407,-5.00,0.00,0.00,0.5,125.52,633.30,302.00,DESCEND
0.1723,0.0876,0.1442,-0.1413,-0.02021,-0.00118,-0.00307,-5.00,0.00,0.00,0.5,125.52,633.31,301.94,DESCEND
0.1824,0.0176,0.2442,-0.0813,0.00678,0.01381,-0.00007,-5.00,0.00,0.00,0.6,125.52,633.31,301.90,DESCEND
0.1925,0.2276,0.2342,-0.0113,0.00478,-0.01018,0.00092,-5.00,0.00,0.00,0.6,125.52,633.31,301.84,DESCEND
0.2027,-0.0223,0.1542,-0.3113,-0.00421,-0.01018,-0.00507,-5.00,0.00,0.00,0.7,125.52,633.31,301.80,DESCEND
0.2128,0.0076,-0.0857,0.2786,0.00478,-0.00218,-0.00507,-5.00,0.00,0.00,0.7,125.52,633.31,301.74,DESCEND
0.2229,-0.1423,-0.0357,-0.0413,-0.01121,-0.01518,-0.00207,-5.00,0.00,0.00,0.8,125.52,633.32,301.70,DESCEND
0.2330,0.0376,-0.1957,0.2486,-0.00721,-0.01418,-0.00207,-5.00,0.00,0.00,0.8,125.52,633.32,301.64,DESCEND
0.2431,-0.1823,0.0142,0.0686,0.01378,0.01181,0.00092,-5.00,0.00,0.00,0.9,125.52,633.32,301.60,DESCEND
0.2533,0.3776,-0.4557,0.4386,0.01878,0.00481,-0.00807,-5.00,0.00,0.00,0.9,125.52,633.32,301.54,DESCEND
0.2634,0.0076,0.3242,-0.0813,-0.00621,-0.00118,-0.00007,-5.00,0.00,0.00,1.0,125.52,633.32,301.48,DESCEND
0.2735,0.0376,-0.4257,0.4686,-0.00221,0.01281,-0.00307,-5.00,0.00,0.00,1.0,125.52,633.32,301.44,DESCEND
0.2837,0.0176,0.1542,-0.1213,-0.00921,-0.00018,-0.00007,-5.00,0.00,0.00,1.1,125.52,633.33,301.38,DESCEND
0.2938,0.2676,-0.3757,0.4386,0.00878,0.01281,-0.00107,-5.00,0.00,0.00,1.1,125.52,633.33,301.34,DESCEND
0.3039,0.0176,-0.0657,-0.0813,-0.02821,-0.01518,-0.00507,-5.00,0.00,0.00,1.2,125.52,633.33,301.28,DESCEND
0.3140,0.0976,-0.0657,-0.0813,-0.00721,-0.00518,-0.00107,-5.00,0.00,0.00,1.2,125.52,633.33,301.24,DESCEND
0.3241,-0.0323,-0.1757,0.3686,-0.00121,-0.00018,0.00092,-5.00,0.00,0.00,1.3,125.52,633.33,301.18,DESCEND
0.3342,0.1376,-0.2357,0.3786,0.01178,0.00681,-0.00307,-5.00,0.00,0.00,1.3,125.52,633.34,301.14,DESCEND
0.3443,0.1776,0.1042,0.1786,0.00978,0.00481,-0.00207,-5.00,0.00,0.00,1.4,125.53,633.34,301.08,DESCEND
0.3544,-0.0923,-0.1457,0.0486,0.00378,-0.00218,-0.00207,-5.00,0.00,0.00,1.4,125.53,633.34,301.04,DESCEND
0.3646,-0.0823,-0.0857,0.3686,-0.00921,0.00481,-0.00507,-5.00,0.00,0.00,1.5,125.53,633.34,300.98,DESCEND
0.3747,-0.2423,0.1242,0.2586,-0.02021,-0.00018,-0.00107,-5.00,0.00,0.00,1.5,125.53,633.34,300.94,DESCEND
0.3848,0.0676,-0.0557,0.1786,0.00478,0.00181,-0.00107,-5.00,0.00,0.00,1.6,125.53,633.35,300.88,DESCEND
0.3949,0.1476,0.1442,0.0486,-0.01821,-0.00518,-0.00007,-5.00,0.00,0.00,1.6,125.53,633.35,300.84,DESCEND
0.4050,-0.0023,-0.0357,0.2086,-0.00721,-0.00518,-0.00007,-5.00,0.00,0.00,1.7,125.53,633.35,300.78,DESCEND
0.4151,0.2876,-0.1857,0.1286,-0.00621,-0.00918,-0.00607,-5.00,0.00,0.00,1.7,125.53,633.35,300.74,DESCEND
0.4252,0.9976,-0.3057,-2.3813,-0.05321,-0.02318,0.01992,-5.00,0.00,0.00,1.8,125.53,633.35,300.68,DESCEND
0.4353,-0.9123,0.6842,0.7686,-0.04721,-0.25718,0.07292,-5.00,0.00,0.00,1.8,125.53,633.35,300.64,DESCEND
0.4454,-1.6223,-0.5457,0.2986,0.07478,-0.19118,-0.04907,-5.00,0.00,0.00,1.9,125.53,633.36,300.58,SEARCH_Y
0.4555,0.5276,-0.3357,-0.1813,0.10278,0.04581,0.00992,0.00,-3.00,0.00,2.0,125.53,633.36,300.52,SEARCH_Y
0.4656,0.2676,0.1442,-0.2513,-0.03921,-0.02718,0.05992,0.00,-3.00,0.00,2.0,125.53,633.36,300.49,SEARCH_Y
0.4757,-0.9223,-0.2857,0.5586,-0.04721,-0.19018,-0.00707,0.00,-3.00,0.00,2.0,125.52,633.36,300.43,SEARCH_Y
0.4858,-1.1523,-0.3357,-0.0513,0.07078,-0.16918,-0.00107,0.00,-3.00,0.00,2.1,125.52,633.36,300.40,SEARCH_Y
0.4960,0.3676,0.8742,-0.3513,-0.02921,0.05381,-0.01707,0.00,-3.00,0.00,2.1,125.51,633.36,300.35,SEARCH_Y
0.5061,0.1676,0.3842,0.1386,-0.07021,0.01181,0.03292,0.00,-3.00,0.00,2.2,125.51,633.37,300.32,SEARCH_Y
0.5162,0.1076,-0.9357,0.5186,0.05178,-0.01818,0.00392,0.00,-3.00,0.00,2.2,125.49,633.37,300.28,SEARCH_Y
0.5263,-0.1323,-0.0257,-0.0813,0.00578,0.00481,-0.03907,0.00,-3.00,0.00,2.2,125.48,633.37,300.26,SEARCH_Y
0.5365,0.1176,0.4842,0.4786,-0.06721,0.01281,0.02492,0.00,-3.00,0.00,2.2,125.47,633.37,300.23,SEARCH_Y
0.5466,0.6176,-0.0357,0.3186,-0.01321,0.01681,0.02092,0.00,-3.00,0.00,2.3,125.45,633.37,300.21,SEARCH_Y
0.5567,0.0876,-0.5957,0.2986,0.03278,0.00681,-0.03207,0.00,-3.00,0.00,2.3,125.43,633.37,300.18,SEARCH_Y
0.5668,-0.3923,0.2742,-0.2013,-0.03621,-0.03318,0.00392,0.00,-3.00,0.00,2.3,125.42,633.37,300.17,SEARCH_Y
0.5769,-0.1323,0.2442,0.4786,-0.03521,-0.00818,0.01592,0.00,-3.00,0.00,2.3,125.39,633.37,300.15,SEARCH_Y
