time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z
0.0036,-0.1897,0.2354,0.0526,-0.01739,-0.00495,0.00059,-5.00,0.00,0.00,0.0,102.94,645.30,302.28
0.0137,0.1102,0.1654,0.1126,0.00160,-0.00595,-0.00140,-5.00,0.00,0.00,0.0,102.94,645.30,302.27
0.0237,0.0502,0.0154,-0.0373,-0.01239,-0.00895,-0.00140,-5.00,0.00,0.00,0.0,102.94,645.30,302.27
0.0339,-0.0997,0.2854,-0.1873,-0.00539,-0.00195,-0.00040,-5.00,0.00,0.00,0.0,102.94,645.30,302.26
0.0438,0.1702,0.0254,0.2426,0.00060,-0.00495,-0.00240,-5.00,0.00,0.00,0.0,102.94,645.30,302.24
0.0540,0.2002,0.4254,-0.1873,-0.00539,-0.01795,-0.00040,-5.00,0.00,0.00,0.0,102.94,645.30,302.23
0.0646,0.0302,0.0654,-0.0073,0.01060,0.00304,-0.00540,-5.00,0.00,0.00,0.1,102.94,645.30,302.21
0.0742,-0.0797,-0.1145,0.3726,0.00860,0.00604,0.00059,-5.00,0.00,0.00,0.1,102.94,645.30,302.18
0.0844,0.0102,-0.2245,0.3526,-0.01139,-0.00495,-0.00140,-5.00,0.00,0.00,0.1,102.94,645.30,302.15
0.0945,0.0802,0.3354,0.1026,0.01060,-0.00195,-0.00040,-5.00,0.00,0.00,0.2,102.94,645.30,302.11
0.1047,0.0302,0.0754,0.2526,0.00260,0.00704,0.00059,-5.00,0.00,0.00,0.2,102.94,645.30,302.09
0.1150,-0.1097,0.1954,-0.0073,-0.00939,-0.00895,-0.00040,-5.00,0.00,0.00,0.2,102.94,645.30,302.04
0.1250,0.0802,0.3654,-0.0373,-0.00239,-0.00595,0.00159,-5.00,0.00,0.00,0.3,102.94,645.31,302.00
0.1352,0.1202,0.1854,-0.0373,0.00660,-0.00395,-0.00340,-5.00,0.00,0.00,0.3,102.94,645.31,301.95
0.1453,0.0802,0.2254,-0.0973,-0.01139,-0.01395,-0.00240,-5.00,0.00,0.00,0.4,102.94,645.31,301.91
0.1552,0.0502,0.0554,0.1126,-0.00339,0.00204,-0.00040,-5.00,0.00,0.00,0.4,102.94,645.31,301.84
0.1654,0.0702,0.2454,0.2026,-0.00339,0.01204,-0.00240,-5.00,0.00,0.00,0.5,102.94,645.31,301.80
0.1755,0.0502,-0.0945,0.2826,0.00560,0.02204,-0.00240,-5.00,0.00,0.00,0.5,102.94,645.32,301.74
0.1855,0.0802,0.1254,0.2726,-0.01039,0.00604,-0.00140,-5.00,0.00,0.00,0.6,102.94,645.32,301.70
0.1956,-0.0197,-0.0445,0.2626,0.01060,0.01204,-0.00340,-5.00,0.00,0.00,0.6,102.94,645.32,301.64
