time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z
0.0033,-0.0083,0.1264,0.0245,0.02066,0.00552,0.00300,-5.00,0.00,0.00,0.0,103.00,655.28,302.15
0.0136,0.1816,-0.3435,-0.1954,0.01366,-0.01147,-0.00299,-5.00,0.00,0.00,0.0,103.00,655.28,302.15
0.0236,0.0116,-0.1035,0.1645,-0.01433,-0.01047,-0.00199,-5.00,0.00,0.00,0.0,103.00,655.28,302.15
0.0340,0.0316,-0.0735,-0.0054,0.01166,0.00252,-0.00299,-5.00,0.00,0.00,0.0,103.00,655.28,302.14
0.0440,0.0916,0.0664,0.1745,0.00266,-0.00347,-0.00099,-5.00,0.00,0.00,0.0,103.00,655.28,302.12
0.0540,0.0416,0.0664,-0.0754,0.00866,-0.00547,0.00000,-5.00,0.00,0.00,0.0,103.00,655.28,302.11
0.0640,0.0616,-0.0735,0.2745,0.02066,0.00952,-0.00299,-5.00,0.00,0.00,0.1,103.00,655.28,302.08
0.0747,0.0116,-0.0135,-0.0754,0.00366,-0.00347,0.00000,-5.00,0.00,0.00,0.1,103.00,655.28,302.07
0.0845,-0.1483,0.1664,-0.0354,-0.00833,-0.00247,0.00000,-5.00,0.00,0.00,0.1,103.00,655.28,302.03
0.0945,-0.1283,-0.2135,0.1845,0.00266,-0.00447,-0.00199,-5.00,0.00,0.00,0.1,103.00,655.28,302.01
0.1052,0.0016,0.0364,-0.1854,-0.00433,-0.00747,-0.00199,-5.00,0.00,0.00,0.2,103.00,655.28,301.96
0.1148,0.0616,-0.0035,0.0245,0.01866,0.01052,-0.00099,-5.00,0.00,0.00,0.2,103.00,655.28,301.93
0.1249,0.1616,-0.1035,0.1345,0.00866,0.00452,-0.00599,-5.00,0.00,0.00,0.3,103.00,655.29,301.88
0.1355,0.1816,-0.1535,0.1545,0.01066,0.00252,0.00100,-5.00,0.00,0.00,0.3,103.00,655.29,301.83
0.1451,0.0416,0.0064,0.1945,0.00466,-0.00547,0.00000,-5.00,0.00,0.00,0.4,103.00,655.29,301.79
0.1551,0.1116,-0.4535,0.2545,0.01466,0.00752,0.00000,-5.00,0.00,0.00,0.4,103.00,655.29,301.72
0.1655,0.2416,0.2964,-0.3354,0.00766,-0.00647,-0.00199,-5.00,0.00,0.00,0.5,103.00,655.29,301.68
0.1757,0.4616,-0.1435,0.0645,0.02166,0.01152,-0.00099,-5.00,0.00,0.00,0.5,103.00,655.30,301.62
0.1854,0.0116,-0.2735,-0.0554,-0.00033,0.01052,-0.00299,-5.00,0.00,0.00,0.6,103.00,655.30,301.58
0.1956,-0.0083,-0.1435,0.0045,0.00566,0.00652,0.00100,-5.00,0.00,0.00,0.6,103.00,655.30,301.52
0.2059,-0.1283,-0.0535,-0.0054,-0.00333,-0.01347,-0.00099,-5.00,0.00,0.00,0.7,103.00,655.30,301.48
0.2159,-0.2983,-0.2335,0.2845,0.00466,0.00652,0.00000,-5.00,0.00,0.00,0.7,103.00,655.30,301.42
0.2260,-0.0683,-0.2335,-0.0254,0.01366,-0.00147,-0.00299,-5.00,0.00,0.00,0.8,103.00,655.31,301.38
0.2364,0.0216,-0.1835,0.1345,0.02266,0.00252,-0.00299,-5.00,0.00,0.00,0.8,103.00,655.31,301.32
0.2461,0.0316,-0.4535,0.2345,0.01766,-0.00247,-0.00399,-5.00,0.00,0.00,0.9,103.00,655.31,301.28
