time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.1539,0.4363,-0.1514,-0.02619,-0.00124,0.00250,-5.00,0.00,0.00,0.0,102.89,650.28,302.24,DESCEND
0.0102,0.1160,0.1963,-0.0714,-0.01319,-0.00924,0.00450,-5.00,0.00,0.00,0.0,102.89,650.28,302.24,DESCEND
0.0203,-0.1939,0.4963,-0.3114,-0.02719,-0.00424,0.00350,-5.00,0.00,0.00,0.0,102.89,650.28,302.24,DESCEND
0.0304,-0.0239,0.0463,-0.2314,-0.01819,-0.01224,0.00350,-5.00,0.00,0.00,0.0,102.89,650.28,302.23,DESCEND
0.0406,-0.0439,0.0263,-0.1014,-0.01019,-0.00724,0.00150,-5.00,0.00,0.00,0.0,102.89,650.28,302.22,DESCEND
0.0507,0.0960,-0.1336,0.1185,-0.01219,-0.01124,0.00150,-5.00,0.00,0.00,0.0,102.89,650.28,302.20,DESCEND
0.0608,0.0660,0.0663,-0.0514,0.00080,-0.00524,0.00050,-5.00,0.00,0.00,0.1,102.89,650.28,302.18,DESCEND
0.0709,0.2060,-0.3036,0.1585,-0.00719,-0.01624,-0.00850,-5.00,0.00,0.00,0.1,102.89,650.28,302.15,DESCEND
0.0811,-0.1339,0.3263,-0.0014,0.00280,0.00475,0.00550,-5.00,0.00,0.00,0.1,102.89,650.29,302.13,DESCEND
0.0912,0.1060,-0.1836,0.2985,-0.00319,0.00175,0.00050,-5.00,0.00,0.00,0.1,102.89,650.29,302.10,DESCEND
0.1014,0.0360,-0.0136,0.1885,-0.00319,-0.00024,0.00250,-5.00,0.00,0.00,0.2,102.89,650.29,302.06,DESCEND
0.1115,0.0260,0.1163,0.1585,-0.02519,0.00675,0.00250,-5.00,0.00,0.00,0.2,102.89,650.29,302.02,DESCEND
0.1216,-0.0239,-0.0836,0.2385,-0.01319,0.00975,-0.00349,-5.00,0.00,0.00,0.3,102.89,650.29,301.97,DESCEND
0.1317,0.0160,-0.1536,0.1585,0.00080,0.00075,0.00150,-5.00,0.00,0.00,0.3,102.89,650.29,301.94,DESCEND
0.1418,0.0260,0.0063,0.3285,-0.00819,0.00675,-0.00150,-5.00,0.00,0.00,0.4,102.89,650.29,301.88,DESCEND
0.1520,0.0960,0.1263,-0.0214,-0.00519,0.00075,0.00350,-5.00,0.00,0.00,0.4,102.89,650.30,301.84,DESCEND
0.1621,0.0760,-0.0536,0.1085,0.00380,0.00475,0.00050,-5.00,0.00,0.00,0.5,102.89,650.30,301.78,DESCEND
0.1722,0.0760,0.0163,0.1685,-0.01119,0.00975,0.00250,-5.00,0.00,0.00,0.5,102.89,650.30,301.74,DESCEND
0.1824,0.2260,-0.1736,0.0485,-0.00819,-0.00024,-0.00449,-5.00,0.00,0.00,0.6,102.89,650.30,301.68,DESCEND
0.1924,0.2460,-0.1136,0.0185,-0.00719,0.00075,0.00150,-5.00,0.00,0.00,0.6,102.89,650.30,301.64,DESCEND
0.2026,0.0160,0.3763,-0.1914,-0.02119,-0.01524,0.00650,-5.00,0.00,0.00,0.7,102.89,650.31,301.58,DESCEND
0.2127,-0.0339,0.2863,-0.0914,-0.00219,-0.00224,0.00450,-5.00,0.00,0.00,0.7,102.89,650.31,301.54,DESCEND
0.2228,-0.1139,0.1263,-0.2414,-0.01119,-0.00624,0.00250,-5.00,0.00,0.00,0.8,102.89,650.31,301.48,DESCEND
0.2329,-0.1439,-0.2536,0.2085,-0.01319,-0.01424,-0.00050,-5.00,0.00,0.00,0.8,102.89,650.31,301.44,DESCEND
0.2431,0.0560,0.1163,-0.0514,-0.00119,-0.01024,0.00250,-5.00,0.00,0.00,0.9,102.89,650.31,301.38,DESCEND
