time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,0.0447,-0.4893,0.3823,0.00329,0.00420,-0.00287,-5.00,0.00,0.00,0.0,125.47,633.29,302.46,DESCEND
0.0102,-0.0252,-0.2493,0.1823,-0.01070,0.00020,-0.00187,-5.00,0.00,0.00,0.0,125.47,633.29,302.46,DESCEND
0.0203,-0.0452,-0.3593,-0.0576,0.01029,0.00720,-0.00087,-5.00,0.00,0.00,0.0,125.47,633.29,302.45,DESCEND
0.0304,0.0947,-0.2393,0.2023,-0.00070,0.00020,0.00212,-5.00,0.00,0.00,0.0,125.47,633.29,302.44,DESCEND
0.0406,-0.0152,-0.1293,-0.0876,0.02029,0.00620,0.00212,-5.00,0.00,0.00,0.0,125.47,633.29,302.43,DESCEND
0.0507,0.3647,-0.3793,0.1923,0.00529,-0.00979,-0.00287,-5.00,0.00,0.00,0.0,125.47,633.29,302.41,DESCEND
0.0608,-0.0552,-0.3493,0.1023,0.00629,0.00820,0.00012,-5.00,0.00,0.00,0.1,125.47,633.30,302.39,DESCEND
0.0710,0.1347,-0.1193,0.0323,0.00529,0.00020,-0.00287,-5.00,0.00,0.00,0.1,125.47,633.30,302.36,DESCEND
0.0812,0.0647,-0.1893,-0.0676,0.00029,-0.00179,0.00212,-5.00,0.00,0.00,0.1,125.47,633.30,302.33,DESCEND
0.0913,0.1747,-0.0493,-0.1076,0.00229,-0.00379,-0.00187,-5.00,0.00,0.00,0.2,125.47,633.30,302.30,DESCEND
0.1015,-0.0052,-0.2193,-0.1676,0.01029,0.00520,0.00212,-5.00,0.00,0.00,0.2,125.47,633.30,302.27,DESCEND
0.1116,0.1047,-0.4193,0.0923,0.03229,0.01220,-0.00087,-5.00,0.00,0.00,0.2,125.47,633.30,302.22,DESCEND
0.1219,0.0047,0.2206,-0.4876,-0.00570,-0.01379,0.00412,-5.00,0.00,0.00,0.3,125.47,633.30,302.18,DESCEND
0.1320,0.1647,-0.6393,0.1723,0.01729,0.00520,-0.00387,-5.00,0.00,0.00,0.3,125.47,633.31,302.13,DESCEND
0.1421,0.0247,-0.2293,-0.1676,-0.00070,0.00720,0.00212,-5.00,0.00,0.00,0.4,125.47,633.31,302.09,DESCEND
0.1522,0.0547,-0.2293,-0.1176,-0.00870,0.00320,0.00312,-5.00,0.00,0.00,0.4,125.47,633.31,302.03,DESCEND
0.1623,0.1547,0.0206,-0.4976,-0.01470,0.00520,0.00112,-5.00,0.00,0.00,0.5,125.47,633.31,301.99,DESCEND
0.1724,0.0947,-0.1693,0.2023,-0.01670,0.00520,-0.00287,-5.00,0.00,0.00,0.5,125.47,633.31,301.93,DESCEND
0.1825,-0.1252,-0.1293,-0.0376,-0.00270,0.00420,0.00312,-5.00,0.00,0.00,0.6,125.47,633.31,301.89,DESCEND
0.1926,0.0447,0.0606,-0.3076,0.00129,-0.01079,0.00012,-5.00,0.00,0.00,0.6,125.47,633.32,301.83,DESCEND
0.2027,-0.0752,-0.2393,-0.1276,-0.00070,0.00020,0.00312,-5.00,0.00,0.00,0.7,125.47,633.32,301.79,DESCEND
0.2128,-0.0852,-0.2393,-0.0876,0.00529,-0.00779,0.00412,-5.00,0.00,0.00,0.7,125.47,633.32,301.73,DESCEND
0.2229,-0.1952,-0.2893,0.1123,-0.00570,-0.01379,0.00012,-5.00,0.00,0.00,0.8,125.47,633.32,301.69,DESCEND
0.2330,-0.0452,-0.5493,0.3123,-0.00070,-0.00479,-0.00187,-5.00,0.00,0.00,0.8,125.47,633.32,301.63,DESCEND
0.2431,-0.1052,-0.5093,0.1423,0.00729,0.00920,0.00212,-5.00,0.00,0.00,0.9,125.47,633.33,301.57,DESCEND
0.2532,0.0947,-0.1293,-0.1176,-0.00470,0.00620,0.00112,-5.00,0.00,0.00,0.9,125.47,633.33,301.53,DESCEND
0.2633,-0.2752,-0.2093,0.0323,-0.02170,0.00720,0.00612,-5.00,0.00,0.00,1.0,125.47,633.33,301.47,DESCEND
0.2734,0.0247,-0.0793,-0.2476,0.00829,0.00620,0.00112,-5.00,0.00,0.00,1.0,125.47,633.33,301.43,DESCEND
