time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,0.0789,0.3149,-0.2865,-0.00194,-0.00161,0.00237,-5.00,0.00,0.00,0.0,125.56,633.27,302.31,DESCEND
0.0101,-0.0910,0.2249,-0.0765,-0.00294,0.00038,0.00337,-5.00,0.00,0.00,0.0,125.56,633.27,302.31,DESCEND
0.0202,-0.2110,0.0949,-0.0365,-0.00694,0.00538,0.00337,-5.00,0.00,0.00,0.0,125.56,633.27,302.30,DESCEND
0.0303,0.0289,0.0149,0.1534,-0.00694,-0.00161,-0.00062,-5.00,0.00,0.00,0.0,125.56,633.27,302.29,DESCEND
0.0404,0.0389,-0.0450,0.1534,0.01105,0.00638,-0.00162,-5.00,0.00,0.00,0.0,125.56,633.27,302.28,DESCEND
0.0505,-0.0710,0.2749,0.0434,-0.01794,-0.00361,0.00737,-5.00,0.00,0.00,0.0,125.56,633.27,302.27,DESCEND
0.0606,0.0989,-0.0250,0.1034,0.00405,-0.00361,0.00037,-5.00,0.00,0.00,0.1,125.56,633.27,302.25,DESCEND
0.0708,-0.0910,-0.1050,-0.1365,-0.00194,-0.00261,0.00137,-5.00,0.00,0.00,0.1,125.56,633.27,302.22,DESCEND
0.0809,-0.2610,-0.1250,0.0834,-0.00994,0.00238,-0.00262,-5.00,0.00,0.00,0.1,125.56,633.27,302.20,DESCEND
0.0909,-0.0010,0.1949,-0.2365,0.01205,0.00838,-0.00162,-5.00,0.00,0.00,0.1,125.56,633.27,302.17,DESCEND
0.1011,-0.1210,-0.3750,0.6534,0.00705,0.02238,-0.00362,-5.00,0.00,0.00,0.2,125.56,633.27,302.12,DESCEND
0.1112,-0.0610,0.0849,-0.1065,0.00205,-0.00061,0.00037,-5.00,0.00,0.00,0.2,125.56,633.27,302.09,DESCEND
0.1213,0.1389,-0.1650,0.0434,0.01005,0.00038,0.00137,-5.00,0.00,0.00,0.3,125.56,633.27,302.04,DESCEND
0.1314,-0.1910,0.0449,0.0934,0.00905,0.01338,0.00337,-5.00,0.00,0.00,0.3,125.56,633.28,302.01,DESCEND
0.1416,0.0689,0.1949,-0.1265,0.00005,0.00138,0.00037,-5.00,0.00,0.00,0.4,125.56,633.28,301.95,DESCEND
0.1517,0.0289,0.1849,-0.4765,-0.00294,-0.00961,0.00237,-5.00,0.00,0.00,0.4,125.56,633.28,301.91,DESCEND
0.1618,0.0989,0.2849,-0.0565,-0.00494,0.01038,0.00337,-5.00,0.00,0.00,0.5,125.56,633.28,301.85,DESCEND
