time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,0.2421,0.0188,-0.2635,-0.00113,-0.01171,0.00005,-5.00,0.00,0.00,0.0,125.56,633.28,302.48,DESCEND
0.0102,-0.0378,-0.1611,0.1464,-0.01313,0.00028,-0.00394,-5.00,0.00,0.00,0.0,125.56,633.28,302.48,DESCEND
0.0203,0.2421,-0.1211,-0.2035,-0.00113,-0.01571,0.00205,-5.00,0.00,0.00,0.0,125.56,633.28,302.48,DESCEND
0.0304,0.2621,-0.1611,0.2064,0.02286,-0.00171,0.00105,-5.00,0.00,0.00,0.0,125.56,633.28,302.47,DESCEND
0.0405,-0.0278,0.0188,-0.0035,0.00986,0.00328,0.00105,-5.00,0.00,0.00,0.0,125.57,633.28,302.45,DESCEND
0.0506,-0.0678,-0.1311,0.0364,-0.01213,-0.00771,0.00205,-5.00,0.00,0.00,0.0,125.57,633.28,302.44,DESCEND
0.0607,0.1721,-0.1511,-0.0135,-0.00113,-0.01171,-0.00094,-5.00,0.00,0.00,0.1,125.57,633.28,302.42,DESCEND
0.0708,0.1421,-0.2211,0.3764,-0.00613,-0.00571,0.00205,-5.00,0.00,0.00,0.1,125.57,633.28,302.40,DESCEND
0.0809,-0.1678,0.0188,-0.2135,-0.00113,0.01228,0.00105,-5.00,0.00,0.00,0.1,125.57,633.28,302.36,DESCEND
0.0911,0.0921,-0.0211,-0.2235,-0.00113,-0.00771,0.00305,-5.00,0.00,0.00,0.1,125.57,633.28,302.34,DESCEND
0.1012,0.0921,-0.1611,-0.1935,-0.00413,-0.01271,0.00005,-5.00,0.00,0.00,0.2,125.57,633.28,302.30,DESCEND
0.1114,0.0521,0.1688,-0.1335,0.00186,-0.00371,0.00005,-5.00,0.00,0.00,0.2,125.57,633.28,302.27,DESCEND
0.1215,0.3521,0.0388,-0.3135,0.02786,-0.00771,0.00105,-5.00,0.00,0.00,0.3,125.57,633.29,302.21,DESCEND
0.1317,-0.0478,-0.2011,0.0364,-0.01413,0.00028,-0.00094,-5.00,0.00,0.00,0.3,125.57,633.29,302.16,DESCEND
0.1418,-0.0378,-0.2611,0.0664,-0.01013,0.00528,-0.00194,-5.00,0.00,0.00,0.4,125.57,633.29,302.12,DESCEND
0.1519,0.1821,-0.2911,0.2464,-0.01513,0.00328,-0.00294,-5.00,0.00,0.00,0.4,125.57,633.29,302.06,DESCEND
0.1620,0.1821,-0.0011,-0.1935,-0.01113,-0.00871,0.00405,-5.00,0.00,0.00,0.5,125.57,633.29,302.02,DESCEND
0.1721,0.0621,0.1688,-0.4035,-0.02313,-0.01471,0.00205,-5.00,0.00,0.00,0.5,125.57,633.30,301.96,DESCEND
0.1823,0.1921,0.0088,-0.2535,-0.01913,-0.01671,0.00105,-5.00,0.00,0.00,0.6,125.57,633.30,301.92,DESCEND
0.1924,-0.1478,0.3088,-0.6035,-0.02813,-0.01771,0.00305,-5.00,0.00,0.00,0.6,125.57,633.30,301.86,DESCEND
0.2025,-0.0278,-0.3311,0.2564,-0.00713,-0.00271,-0.00294,-5.00,0.00,0.00,0.7,125.57,633.30,301.82,DESCEND
0.2126,0.1321,-0.3411,0.1864,0.00186,-0.00571,0.00005,-5.00,0.00,0.00,0.7,125.57,633.30,301.76,DESCEND
0.2227,-0.1378,-0.0011,0.0664,-0.01513,-0.00571,0.00305,-5.00,0.00,0.00,0.8,125.57,633.30,301.72,DESCEND
0.2328,0.2421,-0.1911,-0.4235,-0.00113,-0.02271,0.00005,-5.00,0.00,0.00,0.8,125.57,633.31,301.66,DESCEND
0.2429,-0.0878,-0.4511,0.1764,-0.01413,-0.00971,0.00105,-5.00,0.00,0.00,0.9,125.57,633.31,301.62,DESCEND
0.2530,-0.0178,-0.0711,-0.2135,-0.01713,-0.02071,0.00405,-5.00,0.00,0.00,0.9,125.57,633.31,301.56,DESCEND
0.2631,0.3321,-0.0711,-0.2235,0.00286,-0.02371,0.00205,-5.00,0.00,0.00,1.0,125.57,633.31,301.52,DESCEND
0.2732,-0.0578,0.1688,-0.3135,-0.02413,-0.01871,0.00605,-5.00,0.00,0.00,1.0,125.57,633.31,301.46,DESCEND
0.2833,0.1021,0.0288,-0.0235,-0.01213,-0.00671,0.00105,-5.00,0.00,0.00,1.1,125.57,633.32,301.42,DESCEND
0.2934,-0.0278,0.0188,-0.3535,-0.01913,-0.00671,0.00105,-5.00,0.00,0.00,1.1,125.57,633.32,301.36,DESCEND
0.3035,0.0821,-0.2711,0.3064,-0.00413,0.00028,0.00005,-5.00,0.00,0.00,1.2,125.57,633.32,301.32,DESCEND
0.3136,0.1321,0.0488,-0.0935,-0.00213,-0.01771,0.00205,-5.00,0.00,0.00,1.2,125.57,633.32,301.26,DESCEND
0.3237,-0.0778,-0.2811,-0.0935,-0.01113,-0.01671,0.00105,-5.00,0.00,0.00,1.3,125.57,633.32,301.20,DESCEND
0.3338,0.0921,-0.0911,0.0864,-0.01113,-0.01371,0.00305,-5.00,0.00,0.00,1.3,125.57,633.32,301.16,DESCEND
0.3439,0.0721,-0.0211,0.0964,0.00786,-0.00871,0.00205,-5.00,0.00,0.00,1.4,125.57,633.33,301.10,DESCEND
0.3540,0.0521,0.0488,-0.3135,-0.01113,-0.01671,0.00205,-5.00,0.00,0.00,1.4,125.57,633.33,301.06,DESCEND
0.3641,-0.1178,-0.0311,-0.2635,-0.00713,-0.00471,0.00005,-5.00,0.00,0.00,1.5,125.57,633.33,301.00,DESCEND
0.3743,0.2021,-0.0011,-0.2535,-0.00413,-0.00971,0.00205,-5.00,0.00,0.00,1.5,125.57,633.33,300.96,DESCEND
0.3844,0.2021,0.0388,-0.1535,0.01086,0.00028,0.00305,-5.00,0.00,0.00,1.6,125.57,633.33,300.90,DESCEND
0.3945,-0.0878,0.2688,-0.1735,-0.02113,-0.00471,0.00205,-5.00,0.00,0.00,1.6,125.57,633.34,300.86,DESCEND
0.4046,-0.1178,-0.2211,0.0264,-0.01413,-0.00171,0.00305,-5.00,0.00,0.00,1.7,125.57,633.34,300.80,DESCEND
0.4147,0.0321,0.1288,-0.0235,-0.00013,-0.01271,0.00205,-5.00,0.00,0.00,1.7,125.57,633.34,300.76,DESCEND
0.4249,0.0521,-0.0011,-0.1635,-0.02113,-0.01571,0.00105,-5.00,0.00,0.00,1.8,125.57,633.34,300.70,DESCEND
0.4349,0.0621,-0.2711,0.0364,0.00886,0.00028,-0.00094,-5.00,0.00,0.00,1.8,125.57,633.34,300.66,DESCEND
0.4450,-0.1978,0.1188,-0.1135,-0.02313,-0.01171,0.00405,-5.00,0.00,0.00,1.9,125.57,633.35,300.60,DESCEND
0.4552,-0.0678,0.0788,-0.3235,-0.01413,-0.01971,0.00405,-5.00,0.00,0.00,1.9,125.57,633.35,300.56,DESCEND
0.4653,-0.0978,0.1888,-0.4235,-0.01813,-0.01771,0.00305,-5.00,0.00,0.00,2.0,125.57,633.35,300.50,DESCEND
0.4754,0.0721,-0.0911,-0.4135,-0.01813,-0.01771,0.00305,-5.00,0.00,0.00,2.0,125.57,633.35,300.46,DESCEND
0.4855,0.0621,0.0688,0.1064,-0.01413,-0.00071,0.00005,-5.00,0.00,0.00,2.1,125.57,633.35,300.40,DESCEND
0.4956,0.1621,-0.0911,-0.0235,-0.02013,-0.01871,0.00005,-5.00,0.00,0.00,2.1,125.57,633.36,300.34,DESCEND
0.5057,0.2421,-0.0711,-0.1635,0.00786,-0.01271,0.00405,-5.00,0.00,0.00,2.2,125.57,633.36,300.30,DESCEND
0.5158,0.1321,-0.3511,0.1764,0.01386,0.01028,0.00205,-5.00,0.00,0.00,2.2,125.57,633.36,300.24,DESCEND
0.5259,0.1121,0.1188,-0.2535,-0.00713,-0.01471,0.00405,-5.00,0.00,0.00,2.3,125.57,633.36,300.20,DESCEND
0.5360,-0.1478,-0.2511,0.2064,-0.02013,-0.00471,-0.00194,-5.00,0.00,0.00,2.3,125.57,633.36,300.14,DESCEND
0.5462,0.0821,-0.2411,-0.1535,-0.00513,-0.01071,0.00305,-5.00,0.00,0.00,2.4,125.57,633.36,300.10,DESCEND
0.5563,-0.0478,0.1888,-0.5135,-0.01213,-0.01471,0.00305,-5.00,0.00,0.00,2.4,125.57,633.37,300.04,DESCEND
0.5664,-0.1078,-0.0911,0.0764,-0.00413,-0.00671,0.00105,-5.00,0.00,0.00,2.5,125.57,633.37,300.00,DESCEND
0.5765,0.2321,-0.2011,-0.0535,-0.00313,-0.01971,0.00205,-5.00,0.00,0.00,2.5,125.57,633.37,299.94,DESCEND
0.5866,0.0421,0.0188,-0.0935,-0.00813,-0.00971,0.00405,-5.00,0.00,0.00,2.6,125.57,633.37,299.90,DESCEND
0.5967,0.1021,0.0888,-0.3435,-0.00513,-0.00971,0.00205,-5.00,0.00,0.00,2.6,125.57,633.37,299.84,DESCEND
0.6068,0.2821,-0.1311,-0.0035,-0.01413,-0.01971,0.00405,-5.00,0.00,0.00,2.7,125.57,633.38,299.80,DESCEND
0.6169,0.1221,-0.4111,0.0064,-0.00813,-0.00071,-0.00394,-5.00,0.00,0.00,2.7,125.57,633.38,299.74,DESCEND
0.6270,0.0421,0.1588,-0.0635,-0.00613,-0.01071,0.00105,-5.00,0.00,0.00,2.8,125.57,633.38,299.70,DESCEND
0.6372,0.0921,-0.3011,0.1464,0.00186,0.00528,0.00005,-5.00,0.00,0.00,2.8,125.58,633.38,299.64,DESCEND
0.6473,-0.1278,-0.2411,0.1464,-0.00813,0.00928,0.00005,-5.00,0.00,0.00,2.9,125.58,633.38,299.60,DESCEND
0.6574,0.1221,-0.1211,0.1064,-0.00013,-0.01071,0.00105,-5.00,0.00,0.00,2.9,125.58,633.38,299.54,DESCEND
0.6675,0.0821,-0.0011,0.0764,0.00886,-0.00271,0.00605,-5.00,0.00,0.00,3.0,125.58,633.39,299.50,DESCEND
0.6776,0.0321,-0.0611,0.1564,-0.00813,-0.00371,0.00005,-5.00,0.00,0.00,3.0,125.58,633.39,299.44,DESCEND
0.6877,0.0721,0.0588,-0.1735,-0.00313,-0.00771,0.00305,-5.00,0.00,0.00,3.1,125.58,633.39,299.40,DESCEND
0.6978,0.0121,0.1288,-0.1235,-0.00613,0.00128,0.00405,-5.00,0.00,0.00,3.1,125.58,633.39,299.34,DESCEND
0.7079,-0.0478,-0.0611,0.1464,-0.00413,-0.00271,0.00205,-5.00,0.00,0.00,3.2,125.58,633.39,299.30,DESCEND
0.7180,0.0421,-0.1911,0.0364,-0.00213,-0.00371,0.00105,-5.00,0.00,0.00,3.2,125.58,633.40,299.24,DESCEND
0.7281,0.1521,-0.1811,-0.0335,-0.00813,-0.01071,0.00105,-5.00,0.00,0.00,3.3,125.58,633.40,299.18,DESCEND
0.7382,0.2521,-0.0911,0.2264,0.00786,-0.00471,0.00105,-5.00,0.00,0.00,3.3,125.58,633.40,299.14,DESCEND
0.7483,0.2221,-0.1211,-0.0935,0.00086,-0.00971,0.00105,-5.00,0.00,0.00,3.4,125.58,633.40,299.08,DESCEND
0.7584,0.1921,-0.1011,0.2064,-0.00113,0.00528,-0.00094,-5.00,0.00,0.00,3.4,125.58,633.40,299.04,DESCEND
0.7685,-0.0278,0.1088,-0.3035,-0.01313,-0.00471,0.00805,-5.00,0.00,0.00,3.5,125.58,633.41,298.98,DESCEND
0.7786,0.0021,-0.1111,0.0764,0.00086,-0.00871,0.00105,-5.00,0.00,0.00,3.5,125.58,633.41,298.94,DESCEND
0.7887,0.2921,-0.2311,0.1464,0.00286,-0.00571,0.00105,-5.00,0.00,0.00,3.6,125.58,633.41,298.88,DESCEND
0.7988,0.1721,0.2088,-0.2435,-0.00113,-0.00571,0.00405,-5.00,0.00,0.00,3.6,125.58,633.41,298.84,DESCEND
0.8089,0.0821,-0.2211,-0.0835,0.01186,0.00628,0.00205,-5.00,0.00,0.00,3.7,125.58,633.41,298.78,DESCEND
0.8190,-0.1478,-0.1411,-0.1235,-0.01513,-0.01271,0.00205,-5.00,0.00,0.00,3.7,125.58,633.41,298.74,DESCEND
0.8291,-0.0378,-0.3811,0.1664,-0.00013,0.00028,0.00205,-5.00,0.00,0.00,3.8,125.58,633.42,298.68,DESCEND
0.8392,0.0621,-0.1611,-0.0135,-0.02313,-0.02171,0.00105,-5.00,0.00,0.00,3.8,125.58,633.42,298.64,DESCEND
0.8493,-0.0178,-0.3211,0.1964,0.00286,0.00228,0.00405,-5.00,0.00,0.00,3.9,125.58,633.42,298.58,DESCEND
0.8594,0.1721,-0.1311,0.1364,-0.00213,-0.01071,0.00405,-5.00,0.00,0.00,3.9,125.58,633.42,298.54,DESCEND
0.8695,-0.1878,-0.0111,0.0264,-0.02113,-0.00471,0.00405,-5.00,0.00,0.00,4.0,125.58,633.42,298.48,DESCEND
0.8796,-0.0178,-0.4011,-0.0835,0.00086,0.00128,0.00005,-5.00,0.00,0.00,4.1,125.58,633.43,298.42,DESCEND
0.8897,0.0221,-0.1611,-0.1535,-0.00613,0.00028,0.00305,-5.00,0.00,0.00,4.1,125.58,633.43,298.38,DESCEND
0.8998,-0.0778,-0.2011,0.0164,-0.03113,-0.02071,0.00205,-5.00,0.00,0.00,4.2,125.58,633.43,298.32,DESCEND
0.9099,0.0521,-0.2511,-0.1735,-0.02613,-0.02771,0.00205,-5.00,0.00,0.00,4.2,125.58,633.43,298.28,DESCEND
0.9200,0.0121,-0.0511,0.1664,-0.01813,-0.01271,0.00205,-5.00,0.00,0.00,4.3,125.58,633.43,298.22,DESCEND
0.9301,0.1521,0.1488,-0.4835,0.00086,-0.00771,0.00205,-5.00,0.00,0.00,4.3,125.58,633.44,298.18,DESCEND
0.9402,0.1521,0.1588,-0.1735,0.00186,-0.01871,0.00605,-5.00,0.00,0.00,4.4,125.58,633.44,298.12,DESCEND
0.9503,-0.0478,-0.0711,-0.3235,-0.00213,-0.01271,0.00505,-5.00,0.00,0.00,4.4,125.58,633.44,298.08,DESCEND
0.9604,0.3821,-0.1011,-0.0935,-0.00313,-0.01771,0.00105,-5.00,0.00,0.00,4.5,125.58,633.44,298.02,DESCEND
0.9705,0.2321,-0.0211,-0.2535,0.00186,-0.00671,0.00105,-5.00,0.00,0.00,4.5,125.58,633.44,297.98,DESCEND
